MATCH UP,W/L
NOP vs. SAS,W
SAS @ NOP,L
IND @ MEM,L
MEM vs. IND,W
TOR vs. CHA,W
CHA @ TOR,L
OKC @ MIN,W
MIN vs. OKC,L
DAL vs. POR,W
POR @ DAL,L
BOS @ MIL,W
MIL vs. BOS,L
HOU vs. UTA,W
UTA @ HOU,L
CLE vs. WAS,W
WAS @ CLE,L
BKN vs. ORL,W
ORL @ BKN,L
DET @ NYK,W
NYK vs. DET,L
ATL @ CHI,L
CHI vs. ATL,W
LAL vs. SAC,L
SAC @ LAL,W
DEN @ GSW,L
GSW vs. DEN,W
PHI vs. MIA,L
MIA @ PHI,W
IND vs. WAS,W
WAS @ IND,L
TOR @ BOS,L
BOS vs. TOR,W
PHX vs. LAC,L
LAC @ PHX,W
OKC vs. POR,W
POR @ OKC,L
HOU @ CHA,W
CHA vs. HOU,L
NOP @ MIN,W
MIN vs. NOP,L
LAL @ SAC,L
SAC vs. LAL,W
NYK @ ATL,W
ATL vs. NYK,L
DAL @ UTA,L
UTA vs. DAL,W
ORL @ MIA,L
MIA vs. ORL,W
CLE vs. DET,W
DET @ CLE,L
DEN @ LAC,L
LAC vs. DEN,W
CHI @ BKN,W
BKN vs. CHI,L
GSW vs. MEM,W
MEM @ GSW,L
MIL @ PHI,W
PHI vs. MIL,L
ATL @ WAS,L
WAS vs. ATL,W
DEN vs. SAC,W
SAC @ DEN,L
BKN @ MIL,L
MIL vs. BKN,W
OKC @ IND,L
IND vs. OKC,W
CHA @ DET,L
DET vs. CHA,W
NOP @ HOU,L
HOU vs. NOP,W
BOS vs. CLE,W
CLE @ BOS,L
DAL @ LAL,W
LAL vs. DAL,L
SAS vs. PHX,W
PHX @ SAS,L
POR vs. UTA,L
UTA @ POR,W
MIA vs. TOR,L
TOR @ MIA,W
ORL vs. NYK,L
NYK @ ORL,W
MEM @ LAC,L
LAC vs. MEM,W
CHI vs. PHI,W
PHI @ CHI,L
GSW vs. MIN,W
MIN @ GSW,L
PHX @ NOP,L
NOP vs. PHX,W
SAC @ OKC,L
OKC vs. SAC,W
DAL @ DEN,W
DEN vs. DAL,L
CHA @ ATL,L
ATL vs. CHA,W
UTA vs. MEM,L
MEM @ UTA,W
IND @ DET,W
DET vs. IND,L
HOU vs. SAS,L
SAS @ HOU,W
CLE vs. BOS,L
BOS @ CLE,W
ORL vs. TOR,L
TOR @ ORL,W
BKN vs. WAS,W
WAS @ BKN,L
MIL @ NYK,W
NYK vs. MIL,L
LAL vs. MIN,W
MIN @ LAL,L
CHI @ MIA,W
MIA vs. CHI,L
GSW vs. POR,W
POR @ GSW,L
MEM vs. NOP,W
NOP @ MEM,L
CHA vs. TOR,L
TOR @ CHA,W
DEN vs. LAL,W
LAL @ DEN,L
PHX @ DAL,L
DAL vs. PHX,W
MIL vs. CLE,L
CLE @ MIL,W
UTA vs. SAC,W
SAC @ UTA,L
MIN @ POR,L
POR vs. MIN,W
DET vs. BOS,L
BOS @ DET,W
CHI @ ORL,L
ORL vs. CHI,W
ATL @ BKN,W
BKN vs. ATL,L
NYK vs. IND,L
IND @ NYK,W
SAS vs. HOU,W
HOU @ SAS,L
WAS @ PHI,W
PHI vs. WAS,L
NOP vs. GSW,W
GSW @ NOP,L
OKC vs. SAS,L
SAS @ OKC,W
SAC vs. MIN,W
MIN @ SAC,L
