MATCH UP,W/L
DAL @ SEA,W
SEA vs. DAL,L
NYK @ CHA,W
CHA vs. NYK,L
PHI @ TOR,W
TOR vs. PHI,L
MEM @ MIN,W
MIN vs. MEM,L
LAL @ SAC,W
SAC vs. LAL,L
IND vs. WAS,L
WAS @ IND,W
HOU @ UTA,L
UTA vs. HOU,W
POR vs. GSW,L
GSW @ POR,W
CLE vs. MIL,W
MIL @ CLE,L
ORL vs. MIA,W
MIA @ ORL,L
NOK @ LAC,W
LAC vs. NOK,L
DET @ BOS,W
BOS vs. DET,L
CHI @ NJN,L
NJN vs. CHI,W
SAS vs. DEN,L
DEN @ SAS,W
WAS vs. ORL,L
ORL @ WAS,W
ATL vs. IND,W
IND @ ATL,L
TOR @ DET,L
DET vs. TOR,W
LAC @ PHX,W
PHX vs. LAC,L
DAL @ GSW,L
GSW vs. DAL,W
PHI vs. CLE,L
CLE @ PHI,W
MEM vs. SAS,W
SAS @ MEM,L
DEN vs. MIN,W
MIN @ DEN,L
SAC vs. NOK,L
NOK @ SAC,W
ATL @ MIL,L
MIL vs. ATL,W
UTA vs. POR,W
POR @ UTA,L
BOS @ MIA,W
MIA vs. BOS,L
PHX @ HOU,L
HOU vs. PHX,W
NJN @ NYK,W
NYK vs. NJN,L
CHI @ WAS,W
WAS vs. CHI,L
TOR vs. NYK,W
NYK @ TOR,L
DAL vs. SAS,W
SAS @ DAL,L
IND vs. NJN,L
NJN @ IND,W
PHI @ DET,W
DET vs. PHI,L
BOS @ ORL,L
ORL vs. BOS,W
LAC vs. SAC,L
SAC @ LAC,W
LAL vs. SEA,W
SEA @ LAL,L
GSW vs. MIN,W
MIN @ GSW,L
DEN @ MEM,L
MEM vs. DEN,W
MIL vs. CHA,L
CHA @ MIL,W
PHX @ UTA,W
UTA vs. PHX,L
SEA @ POR,L
POR vs. SEA,W
HOU vs. NOK,W
NOK @ HOU,L
ATL @ CLE,L
CLE vs. ATL,W
ORL @ PHI,W
PHI vs. ORL,L
DET @ TOR,L
TOR vs. DET,W
DEN @ NOK,W
NOK vs. DEN,L
MIN vs. SAS,L
SAS @ MIN,W
GSW @ SAC,W
SAC vs. GSW,L
UTA @ DAL,W
DAL vs. UTA,L
ATL vs. WAS,L
WAS @ ATL,W
IND @ MIA,L
MIA vs. IND,W
POR @ LAC,L
LAC vs. POR,W
BOS vs. MIL,L
MIL @ BOS,W
NYK @ NJN,L
NJN vs. NYK,W
PHX vs. LAL,W
LAL @ PHX,L
CHI vs. CHA,W
CHA @ CHI,L
NJN @ CLE,L
CLE vs. NJN,W
LAL vs. LAC,L
LAC @ LAL,W
DAL @ MIN,W
MIN vs. DAL,L
MIL vs. IND,L
IND @ MIL,W
UTA vs. DEN,L
DEN @ UTA,W
HOU @ POR,W
POR vs. HOU,L
MIA vs. WAS,W
WAS @ MIA,L
ORL @ DET,L
DET vs. ORL,W
BOS vs. PHI,L
PHI @ BOS,W
SEA @ PHX,L
PHX vs. SEA,W
SAC @ SAS,L
SAS vs. SAC,W
CHA vs. MIA,W
MIA @ CHA,L
MEM vs. SAC,L
SAC @ MEM,W
WAS vs. NJN,L
NJN @ WAS,W
LAC @ NOK,L
NOK vs. LAC,W
ATL vs. BOS,W
BOS @ ATL,L
NYK @ CHI,L
CHI vs. NYK,W
PHI vs. IND,W
IND @ PHI,L
SEA vs. HOU,L
HOU @ SEA,W
TOR @ MIN,W
MIN vs. TOR,L
LAL @ DEN,L
DEN vs. LAL,W
ORL @ MIL,W
MIL vs. ORL,L
LAC @ DAL,L
DAL vs. LAC,W
DET @ NYK,W
NYK vs. DET,L
POR @ SAS,L
SAS vs. POR,W
GSW vs. UTA,W
UTA @ GSW,L
CHI @ TOR,L
TOR vs. CHI,W
HOU @ SAC,W
SAC vs. HOU,L
CHA @ MIA,W
MIA vs. CHA,L
CLE @ DET,L
DET vs. CLE,W
LAL vs. PHX,L
PHX @ LAL,W
ATL @ PHI,L
PHI vs. ATL,W
NOK @ MIN,W
MIN vs. NOK,L
NYK @ MIL,W
MIL vs. NYK,L
POR @ DAL,L
DAL vs. POR,W
BOS @ IND,L
IND vs. BOS,W
SEA @ UTA,W
UTA vs. SEA,L
ORL vs. MEM,W
MEM @ ORL,L
LAC vs. DEN,L
DEN @ LAC,W
WAS @ NJN,L
NJN vs. WAS,W
SAS vs. GSW,W
GSW @ SAS,L
SEA vs. LAL,L
LAL @ SEA,W
IND @ CHA,W
CHA vs. IND,L
GSW @ MEM,W
MEM vs. GSW,L
CLE @ WAS,W
WAS vs. CLE,L
PHX @ NOK,W
NOK vs. PHX,L
DEN vs. DAL,W
DAL @ DEN,L
UTA @ SAC,L
SAC vs. UTA,W
ATL vs. MIL,W
MIL @ ATL,L
HOU vs. POR,L
POR @ HOU,W
MIA @ BOS,W
BOS vs. MIA,L
NYK vs. MIN,L
MIN @ NYK,W
CHI vs. NJN,W
NJN @ CHI,L
TOR @ PHI,W
PHI vs. TOR,L
CLE vs. MIA,L
MIA @ CLE,W
SAS vs. PHX,W
PHX @ SAS,L
WAS vs. CHA,L
CHA @ WAS,W
NOK vs. SEA,W
SEA @ NOK,L
DEN vs. SAC,W
SAC @ DEN,L
BOS @ MIL,L
MIL vs. BOS,W
POR vs. UTA,W
UTA @ POR,L
DET vs. CHI,L
CHI @ DET,W
GSW @ HOU,W
HOU vs. GSW,L
TOR @ ORL,W
ORL vs. TOR,L
LAL @ LAC,L
LAC vs. LAL,W
ATL @ NJN,L
NJN vs. ATL,W
PHI @ NYK,W
NYK vs. PHI,L
WAS @ CHA,L
CHA vs. WAS,W
PHX @ MEM,W
MEM vs. PHX,L
MIN vs. CLE,L
CLE @ MIN,W
DAL @ SAC,W
SAC vs. DAL,L
NOK @ MIL,W
MIL vs. NOK,L
DET @ IND,W
IND vs. DET,L
TOR @ MIA,L
MIA vs. TOR,W
LAL vs. DEN,L
DEN @ LAL,W
SAS vs. SEA,W
SEA @ SAS,L
DEN @ SEA,W
SEA vs. DEN,L
TOR vs. CHA,W
CHA @ TOR,L
WAS @ MIL,W
MIL vs. WAS,L
ATL vs. CHI,L
CHI @ ATL,W
SAS @ IND,L
IND vs. SAS,W
DET vs. MIA,W
MIA @ DET,L
UTA @ HOU,W
HOU vs. UTA,L
ORL vs. MIN,L
MIN @ ORL,W
BOS vs. CLE,W
CLE @ BOS,L
DAL @ PHX,L
PHX vs. DAL,W
LAL vs. SAC,W
SAC @ LAL,L
MEM @ GSW,L
GSW vs. MEM,W
NYK @ NOK,L
NOK vs. NYK,W
LAC @ POR,W
POR vs. LAC,L
PHI @ NJN,L
NJN vs. PHI,W
CHI vs. CLE,L
CLE @ CHI,W
MEM @ SEA,L
SEA vs. MEM,W
CHA vs. MIL,W
MIL @ CHA,L
WAS vs. TOR,L
TOR @ WAS,W
MIN vs. MIA,L
MIA @ MIN,W
LAC @ SAC,W
SAC vs. LAC,L
NYK @ DAL,L
DAL vs. NYK,W
DET vs. NJN,W
NJN @ DET,L
IND @ ORL,L
ORL vs. IND,W
DEN @ PHX,L
PHX vs. DEN,W
LAL vs. HOU,L
HOU @ LAL,W
UTA @ SAS,L
SAS vs. UTA,W
BOS @ PHI,L
PHI vs. BOS,W
POR vs. MEM,L
MEM @ POR,W
DET @ CHI,L
CHI vs. DET,W
PHX @ GSW,L
GSW vs. PHX,W
ATL @ CHA,L
CHA vs. ATL,W
TOR vs. MIA,W
MIA @ TOR,L
WAS vs. PHI,W
PHI @ WAS,L
DEN vs. SEA,L
SEA @ DEN,W
DAL vs. MIL,W
MIL @ DAL,L
UTA vs. MIN,W
MIN @ UTA,L
HOU @ LAC,W
LAC vs. HOU,L
ORL @ BOS,L
BOS vs. ORL,W
IND @ NJN,L
NJN vs. IND,W
NYK vs. CLE,W
CLE @ NYK,L
NOK @ SAS,L
SAS vs. NOK,W
NOK vs. DAL,L
DAL @ NOK,W
SEA @ MIN,W
MIN vs. SEA,L
CLE @ IND,W
IND vs. CLE,L
LAL vs. MEM,L
MEM @ LAL,W
WAS @ UTA,L
UTA vs. WAS,W
MIA vs. ATL,W
ATL @ MIA,L
DET vs. DEN,W
DEN @ DET,L
HOU vs. MIL,W
MIL @ HOU,L
TOR @ BOS,L
BOS vs. TOR,W
PHX vs. MEM,W
MEM @ PHX,L
ORL @ NYK,W
NYK vs. ORL,L
POR @ CHI,L
CHI vs. POR,W
SAS @ GSW,W
GSW vs. SAS,L
SAS @ SEA,W
