MATCH UP,W/L
MIL @ IND,L
IND vs. MIL,W
SAS vs. NOH,W
NOH @ SAS,L
MEM vs. ATL,W
ATL @ MEM,L
LAC vs. OKC,L
OKC @ LAC,W
GSW @ PHX,L
PHX vs. GSW,W
MIN vs. SAC,L
SAC @ MIN,W
DEN @ POR,L
POR vs. DEN,W
NJN @ NYK,L
NYK vs. NJN,W
DAL vs. HOU,W
HOU @ DAL,L
ORL vs. CHA,W
CHA @ ORL,L
WAS @ BOS,L
BOS vs. WAS,W
DET @ MIA,L
MIA vs. DET,W
TOR @ CHI,W
CHI vs. TOR,L
CLE vs. PHI,L
PHI @ CLE,W
UTA @ LAL,L
LAL vs. UTA,W
MIA @ ATL,L
ATL vs. MIA,W
PHI vs. BOS,L
BOS @ PHI,W
MEM @ PHX,L
PHX vs. MEM,W
ORL @ MIL,L
MIL vs. ORL,W
POR vs. OKC,W
OKC @ POR,L
DAL vs. MIN,W
MIN @ DAL,L
IND vs. CLE,L
CLE @ IND,W
SAS @ GSW,W
GSW vs. SAS,L
NOH @ HOU,L
HOU vs. NOH,W
WAS vs. TOR,L
TOR @ WAS,W
CHI @ DET,W
DET vs. CHI,L
UTA vs. LAC,W
LAC @ UTA,L
CHA @ NJN,L
NJN vs. CHA,W
SAC @ DEN,L
DEN vs. SAC,W
DAL @ NOH,L
NOH vs. DAL,W
PHI @ TOR,L
TOR vs. PHI,W
SAC vs. SAS,L
SAS @ SAC,W
LAL vs. MEM,W
MEM @ LAL,L
CLE vs. BOS,W
BOS @ CLE,L
MIA vs. NYK,W
NYK @ MIA,L
PHX @ MIN,W
MIN vs. PHX,L
OKC @ MIL,L
MIL vs. OKC,W
GSW @ UTA,W
UTA vs. GSW,L
DET @ IND,L
IND vs. DET,W
LAC vs. POR,L
POR @ LAC,W
NJN vs. ORL,W
ORL @ NJN,L
CHI vs. CHA,W
CHA @ CHI,L
POR vs. LAL,W
LAL @ POR,L
HOU @ GSW,W
GSW vs. HOU,L
NOH @ DAL,L
DAL vs. NOH,W
CLE @ PHI,W
PHI vs. CLE,L
MIA @ BOS,L
BOS vs. MIA,W
MEM vs. PHX,W
PHX @ MEM,L
OKC vs. CHA,W
CHA @ OKC,L
WAS @ TOR,W
TOR vs. WAS,L
ATL vs. IND,W
IND @ ATL,L
NJN @ DET,L
DET vs. NJN,W
ORL vs. NYK,L
NYK @ ORL,W
SAC @ LAC,L
LAC vs. SAC,W
UTA @ SAS,L
SAS vs. UTA,W
SAC vs. HOU,L
HOU @ SAC,W
CHI vs. PHI,W
PHI @ CHI,L
DEN @ LAL,L
LAL vs. DEN,W
DAL vs. UTA,W
UTA @ DAL,L
NYK vs. DET,L
DET @ NYK,W
GSW vs. MIN,L
MIN @ GSW,W
MIL vs. ATL,L
ATL @ MIL,W
NOH vs. PHX,L
PHX @ NOH,W
TOR @ IND,L
IND vs. TOR,W
POR @ SAS,W
SAS vs. POR,L
CLE vs. WAS,W
WAS @ CLE,L
ORL vs. MEM,W
MEM @ ORL,L
OKC @ DEN,L
DEN vs. OKC,W
NJN @ BOS,L
BOS vs. NJN,W
LAC vs. MIN,L
MIN @ LAC,W
PHI @ CHA,L
CHA vs. PHI,W
POR @ MEM,W
MEM vs. POR,L
OKC vs. SAS,L
SAS @ OKC,W
HOU vs. ORL,W
ORL @ HOU,L
