MATCH UP,W/L
CLE @ CHA,L
CHA vs. CLE,W
MIL @ OKC,W
OKC vs. MIL,L
MEM vs. UTA,W
UTA @ MEM,L
BOS @ TOR,L
TOR vs. BOS,W
PHX @ DEN,L
DEN vs. PHX,W
LAC @ SAC,W
SAC vs. LAC,L
DAL vs. NOH,W
NOH @ DAL,L
IND vs. PHI,L
PHI @ IND,W
POR vs. GSW,L
GSW @ POR,W
MIA vs. ORL,W
ORL @ MIA,L
BKN vs. DET,W
DET @ BKN,L
ATL @ NYK,L
NYK vs. ATL,W
CHI vs. WAS,W
WAS @ CHI,L
HOU @ LAL,L
LAL vs. HOU,W
SAS vs. MIN,L
MIN @ SAS,W
ATL vs. TOR,L
TOR @ ATL,W
POR @ LAC,L
LAC vs. POR,W
BOS vs. IND,
IND @ BOS,
CHA vs. NYK,W
NYK @ CHA,L
OKC vs. SAC,W
SAC @ OKC,L
MIN vs. UTA,L
UTA @ MIN,W
DEN @ MIL,W
MIL vs. DEN,L
DAL vs. MEM,L
MEM @ DAL,W
DET vs. PHI,W
PHI @ DET,L
MIA @ CLE,W
CLE vs. MIA,L
ORL vs. CHI,L
CHI @ ORL,W
BKN vs. WAS,W
WAS @ BKN,L
PHX vs. HOU,W
HOU @ PHX,L
GSW vs. SAS,W
SAS @ GSW,L
TOR vs. BKN,W
BKN @ TOR,L
DAL @ NOH,W
NOH vs. DAL,L
DEN vs. POR,W
POR @ DEN,L
MIA vs. CHI,W
CHI @ MIA,L
SAC @ HOU,L
HOU vs. SAC,W
NYK vs. IND,W
IND @ NYK,L
SAS @ LAL,L
LAL vs. SAS,W
CLE @ PHI,L
PHI vs. CLE,W
MIL @ CHA,L
CHA vs. MIL,W
MEM vs. LAC,L
LAC @ MEM,W
PHX @ MIN,L
MIN vs. PHX,W
ORL vs. BOS,L
BOS @ ORL,W
TOR vs. CHI,W
CHI @ TOR,L
PHI @ WAS,W
WAS vs. PHI,L
NOH vs. LAC,L
LAC @ NOH,W
DAL vs. DEN,W
DEN @ DAL,L
ATL vs. MIL,W
MIL @ ATL,L
BKN @ IND,W
IND vs. BKN,L
MIN @ UTA,L
UTA vs. MIN,W
OKC @ POR,W
POR vs. OKC,L
BOS @ MIA,L
MIA vs. BOS,W
DET vs. CHA,W
CHA @ DET,L
MEM @ HOU,W
HOU vs. MEM,L
NYK @ CLE,W
CLE vs. NYK,L
LAL vs. GSW,W
GSW @ LAL,L
SAC @ SAS,L
SAS vs. SAC,W
NYK @ CHI,L
CHI vs. NYK,W
GSW vs. OKC,L
OKC @ GSW,W
MIA @ WAS,W
WAS vs. MIA,L
DEN vs. SAS,W
SAS @ DEN,L
NOH @ SAC,L
SAC vs. NOH,W
DAL vs. PHX,L
PHX @ DAL,W
POR vs. LAL,L
LAL @ POR,W
DET @ CLE,W
CLE vs. DET,L
MIL @ ORL,L
ORL vs. MIL,W
LAC vs. MIN,W
MIN @ LAC,L
BKN @ BOS,W
BOS vs. BKN,L
PHI vs. ATL,L
ATL @ PHI,W
CHA @ MEM,L
MEM vs. CHA,W
IND vs. CLE,W
CLE @ IND,L
OKC @ UTA,W
UTA vs. OKC,L
MIA vs. MIL,W
MIL @ MIA,L
PHX @ HOU,L
HOU vs. PHX,W
BKN vs. PHI,W
PHI @ BKN,L
WAS @ NYK,L
NYK vs. WAS,W
CHI vs. TOR,L
TOR @ CHI,W
LAL vs. NOH,W
NOH @ LAL,L
MIN @ GSW,L
GSW vs. MIN,W
NYK @ OKC,W
OKC vs. NYK,L
MEM @ SAC,W
SAC vs. MEM,L
POR vs. DAL,L
DAL @ POR,W
CHI @ DET,L
DET vs. CHI,W
ORL @ CLE,L
CLE vs. ORL,W
LAL @ LAC,L
LAC vs. LAL,W
WAS @ BOS,L
BOS vs. WAS,W
PHX vs. NOH,L
NOH @ PHX,W
UTA @ GSW,W
GSW vs. UTA,L
WAS vs. IND,W
IND @ WAS,L
DET @ MIN,L
MIN vs. DET,W
HOU @ DEN,L
DEN vs. HOU,W
MIL vs. TOR,W
TOR @ MIL,L
MIA vs. PHI,W
PHI @ MIA,L
CHA @ BKN,L
BKN vs. CHA,W
ATL @ SAS,L
SAS vs. ATL,W
CHA vs. MIA,L
MIA @ CHA,W
TOR @ MIN,W
MIN vs. TOR,L
DAL @ SAC,W
SAC vs. DAL,L
PHI @ ATL,W
ATL vs. PHI,L
OKC @ IND,W
IND vs. OKC,L
UTA vs. NOH,W
NOH @ UTA,L
HOU @ POR,W
POR vs. HOU,L
BOS vs. CLE,L
CLE @ BOS,W
PHX vs. GSW,L
GSW @ PHX,W
MIL @ NYK,L
NYK vs. MIL,W
CHI vs. ORL,W
ORL @ CHI,L
LAL vs. MEM,W
MEM @ LAL,L
OKC vs. SAS,W
SAS @ OKC,L
DAL @ DEN,L
DEN vs. DAL,W
BKN vs. CHI,L
CHI @ BKN,W
CHA vs. PHI,W
PHI @ CHA,L
WAS @ TOR,L
TOR vs. WAS,W
SAC vs. HOU,L
HOU @ SAC,W
MIL vs. MIN,L
MIN @ MIL,W
ATL vs. NYK,L
NYK @ ATL,W
DEN @ UTA,W
UTA vs. DEN,L
MEM @ POR,W
POR vs. MEM,L
BKN @ CLE,W
CLE vs. BKN,L
PHX @ LAC,L
