MATCH UP,W/L
MEM @ MIN,W
MIN vs. MEM,L
MIA @ BOS,L
BOS vs. MIA,W
DEN @ SEA,L
SEA vs. DEN,W
NYK @ NJN,W
NJN vs. NYK,L
PHI @ CHA,L
CHA vs. PHI,W
LAC @ DAL,W
DAL vs. LAC,L
IND vs. ORL,W
ORL @ IND,L
GSW @ UTA,L
UTA vs. GSW,W
PHX @ POR,W
POR vs. PHX,L
SAS @ HOU,W
HOU vs. SAS,L
WAS @ DET,W
DET vs. WAS,L
ATL @ CLE,L
CLE vs. ATL,W
TOR @ CHI,L
CHI vs. TOR,W
NOK @ LAL,L
LAL vs. NOK,W
WAS vs. MIL,W
MIL @ WAS,L
LAC @ MEM,L
MEM vs. LAC,W
SEA @ SAC,L
SAC vs. SEA,W
ATL vs. MIA,W
MIA @ ATL,L
NJN @ PHI,L
PHI vs. NJN,W
NOK @ PHX,L
PHX vs. NOK,W
IND @ TOR,W
TOR vs. IND,L
DEN vs. HOU,L
HOU @ DEN,W
DET @ MIL,L
MIL vs. DET,W
CHI @ ORL,W
ORL vs. CHI,L
CLE @ BOS,W
BOS vs. CLE,L
CHA @ NYK,W
NYK vs. CHA,L
SAS vs. UTA,W
UTA @ SAS,L
GSW vs. POR,W
POR @ GSW,L
CLE @ WAS,L
WAS vs. CLE,W
SAS @ MIN,W
MIN vs. SAS,L
NOK @ SAC,L
SAC vs. NOK,W
UTA @ DAL,L
DAL vs. UTA,W
CHI @ MIA,W
MIA vs. CHI,L
DET vs. NYK,W
NYK @ DET,L
SEA @ LAC,W
LAC vs. SEA,L
NJN vs. BOS,W
BOS @ NJN,L
PHX @ LAL,L
LAL vs. PHX,W
CHA vs. IND,W
IND @ CHA,L
DEN vs. SAC,L
SAC @ DEN,W
ATL @ MIL,W
MIL vs. ATL,L
POR vs. GSW,L
GSW @ POR,W
MEM @ HOU,W
HOU vs. MEM,L
ORL vs. PHI,W
PHI @ ORL,L
WAS @ CHI,L
CHI vs. WAS,W
POR @ LAL,L
LAL vs. POR,W
LAC @ SEA,W
SEA vs. LAC,L
DET @ TOR,L
TOR vs. DET,W
NOK vs. UTA,L
UTA @ NOK,W
CHA @ ATL,W
ATL vs. CHA,L
IND vs. MIN,W
MIN @ IND,L
PHI @ MIA,L
MIA vs. PHI,W
BOS vs. NJN,L
NJN @ BOS,W
NYK vs. MIL,L
MIL @ NYK,W
GSW vs. PHX,W
PHX @ GSW,L
NYK @ CLE,L
CLE vs. NYK,W
PHX vs. DAL,W
DAL @ PHX,L
SAS vs. ORL,L
ORL @ SAS,W
MEM @ CHA,W
CHA vs. MEM,L
NOK vs. SEA,W
SEA @ NOK,L
WAS @ MIL,L
MIL vs. WAS,W
CHI @ ATL,W
ATL vs. CHI,L
IND vs. BOS,W
BOS @ IND,L
DEN @ UTA,L
UTA vs. DEN,W
DET vs. CLE,W
CLE @ DET,L
MIN @ HOU,W
HOU vs. MIN,L
ORL vs. TOR,W
TOR @ ORL,L
POR @ LAC,L
LAC vs. POR,W
NJN vs. PHI,L
PHI @ NJN,W
GSW vs. DAL,W
DAL @ GSW,L
MIN @ MEM,L
MEM vs. MIN,W
SAC vs. PHX,L
PHX @ SAC,W
TOR @ MIA,L
MIA vs. TOR,W
CHI vs. NJN,W
