MATCH UP,W/L
NJN @ CHI,L
LAL vs. GSW,W
GSW @ LAL,L
SEA @ SAS,L
SAS vs. SEA,W
CLE @ NOK,W
NOK vs. CLE,L
NYK @ IND,L
IND vs. NYK,W
HOU @ UTA,L
UTA vs. HOU,W
DEN @ POR,W
POR vs. DEN,L
ATL @ ORL,L
ORL vs. ATL,W
LAC vs. DAL,L
DAL @ LAC,W
WAS @ PHI,L
PHI vs. WAS,W
PHX @ SEA,L
SEA vs. PHX,W
CHA @ TOR,W
TOR vs. CHA,L
ATL @ MIN,L
MIN vs. ATL,W
SAC vs. HOU,W
HOU @ SAC,L
MIL vs. NJN,L
NJN @ MIL,W
ORL @ MIA,W
MIA vs. ORL,L
DET vs. IND,W
IND @ DET,L
NYK @ BOS,W
BOS vs. NYK,L
LAL vs. LAC,W
LAC @ LAL,L
SAS vs. MEM,W
MEM @ SAS,L
DAL vs. NOK,W
NOK @ DAL,L
WAS vs. MIA,L
MIA @ WAS,W
DEN vs. GSW,W
GSW @ DEN,L
POR @ UTA,L
UTA vs. POR,W
NJN vs. CLE,L
CLE @ NJN,W
CHI vs. PHI,L
PHI @ CHI,W
DET @ ORL,L
ORL vs. DET,W
NYK vs. IND,W
IND @ NYK,L
MEM vs. MIL,W
MIL @ MEM,L
NOK vs. TOR,W
TOR @ NOK,L
PHI vs. BOS,L
BOS @ PHI,W
MIN vs. UTA,L
UTA @ MIN,W
ATL vs. WAS,W
WAS @ ATL,L
POR vs. SEA,L
SEA @ POR,W
LAC vs. SAC,L
SAC @ LAC,W
LAL @ PHX,L
PHX vs. LAL,W
SAS vs. DAL,L
DAL @ SAS,W
GSW vs. HOU,L
HOU @ GSW,W
NJN vs. CHA,W
CHA @ NJN,L
DEN vs. LAL,W
LAL @ DEN,L
DET @ MIA,W
MIA vs. DET,L
NOK vs. GSW,W
GSW @ NOK,L
ATL vs. MIN,W
MIN @ ATL,L
IND vs. TOR,W
TOR @ IND,L
HOU @ POR,L
POR vs. HOU,W
ORL vs. MIL,W
MIL @ ORL,L
WAS @ BOS,W
BOS vs. WAS,L
PHX vs. LAC,L
LAC @ PHX,W
NYK vs. CLE,W
CLE @ NYK,L
SAC @ SAS,W
SAS vs. SAC,L
CHI @ PHI,W
PHI vs. CHI,L
DEN @ LAC,L
LAC vs. DEN,W
TOR vs. BOS,L
BOS @ TOR,W
HOU @ SEA,L
SEA vs. HOU,W
MIN @ CHA,L
CHA vs. MIN,W
MEM vs. GSW,W
GSW @ MEM,L
WAS vs. NYK,W
NYK @ WAS,L
SAC @ DAL,L
DAL vs. SAC,W
UTA vs. SAS,L
SAS @ UTA,W
MIA vs. MIL,W
MIL @ MIA,L
DET vs. NOK,W
NOK @ DET,L
PHI @ CLE,L
CLE vs. PHI,W
ATL @ NJN,L
NJN vs. ATL,W
CHI vs. IND,W
IND @ CHI,L
GSW @ MIN,L
MIN vs. GSW,W
NYK @ PHI,L
PHI vs. NYK,W
SEA vs. POR,W
POR @ SEA,L
CLE @ CHA,W
CHA vs. CLE,L
MEM vs. ATL,W
ATL @ MEM,L
TOR vs. NOK,L
NOK @ TOR,W
SAC vs. LAC,W
LAC @ SAC,L
DAL vs. DEN,W
DEN @ DAL,L
PHX @ DET,L
DET vs. PHX,W
NJN vs. MIA,W
MIA @ NJN,L
HOU @ LAL,L
LAL vs. HOU,W
MIL vs. IND,W
IND @ MIL,L
UTA @ POR,W
POR vs. UTA,L
CLE vs. MIA,W
MIA @ CLE,L
BOS @ CHI,L
CHI vs. BOS,W
WAS @ SAS,L
SAS vs. WAS,W
CHI @ CHA,W
CHA vs. CHI,L
GSW vs. SAC,L
SAC @ GSW,W
DET vs. MIL,W
MIL @ DET,L
TOR vs. PHX,L
PHX @ TOR,W
NJN @ ATL,W
ATL vs. NJN,L
ORL vs. DAL,W
DAL @ ORL,L
PHI @ NYK,W
NYK vs. PHI,L
LAL @ SEA,W
SEA vs. LAL,L
NOK vs. MEM,W
MEM @ NOK,L
MIN @ DEN,L
DEN vs. MIN,W
HOU vs. WAS,W
WAS @ HOU,L
UTA @ LAC,L
LAC vs. UTA,W
IND vs. PHX,L
PHX @ IND,W
LAL vs. SAS,L
SAS @ LAL,W
PHI vs. DET,L
DET @ PHI,W
MIA @ TOR,W
TOR vs. MIA,L
MIN vs. ORL,W
ORL @ MIN,L
UTA @ DEN,W
DEN vs. UTA,L
ATL vs. IND,W
IND @ ATL,L
POR vs. SAC,L
SAC @ POR,W
HOU vs. SEA,W
SEA @ HOU,L
DAL @ CLE,L
CLE vs. DAL,W
NJN vs. MEM,W
MEM @ NJN,L
NYK vs. BOS,L
BOS @ NYK,W
GSW vs. NOK,L
NOK @ GSW,W
ATL @ CHA,L
CHA vs. ATL,W
MEM vs. SEA,L
SEA @ MEM,W
WAS @ SAC,W
SAC vs. WAS,L
PHX @ MIL,L
MIL vs. PHX,W
DET vs. DAL,W
DAL @ DET,L
SAS @ LAC,W
LAC vs. SAS,L
CHI vs. ORL,L
ORL @ CHI,W
UTA vs. NOK,W
NOK @ UTA,L
IND @ MIA,L
MIA vs. IND,W
NJN vs. PHX,W
PHX @ NJN,L
WAS @ GSW,W
GSW vs. WAS,L
SEA vs. SAS,W
SAS @ SEA,L
MEM vs. CHA,W
CHA @ MEM,L
NYK @ MIN,L
MIN vs. NYK,W
GSW @ SAC,W
SAC vs. GSW,L
TOR @ MIL,L
MIL vs. TOR,W
PHI @ IND,L
IND vs. PHI,W
LAC @ POR,W
POR vs. LAC,L
HOU vs. CLE,L
CLE @ HOU,W
NJN @ DET,W
DET vs. NJN,L
ATL @ ORL,L
ORL vs. ATL,W
CHI @ BOS,W
BOS vs. CHI,L
LAL vs. NOK,W
NOK @ LAL,L
DAL @ ATL,W
ATL vs. DAL,L
SAC @ UTA,W
UTA vs. SAC,L
WAS @ LAC,L
LAC vs. WAS,W
DEN @ PHX,L
PHX vs. DEN,W
TOR vs. MIN,W
MIN @ TOR,L
SEA @ DEN,L
DEN vs. SEA,W
IND vs. DET,L
DET @ IND,W
SAS @ POR,W
POR vs. SAS,L
MIA vs. CHA,W
CHA @ MIA,L
CLE vs. BOS,W
BOS @ CLE,L
MEM @ NYK,W
NYK vs. MEM,L
NOK @ CHI,L
CHI vs. NOK,W
LAL vs. MIL,W
MIL @ LAL,L
PHI vs. ORL,L
ORL @ PHI,W
LAC @ MEM,L
MEM vs. LAC,W
HOU @ NOK,W
NOK vs. HOU,L
GSW @ DAL,W
DAL vs. GSW,L
UTA vs. WAS,L
WAS @ UTA,W
MIN @ NJN,L
NJN vs. MIN,W
PHX vs. POR,W
POR @ PHX,L
CLE vs. CHA,W
CHA @ CLE,L
IND vs. CHI,W
CHI @ IND,L
SEA vs. MIL,W
MIL @ SEA,L
DEN vs. SAS,W
SAS @ DEN,L
MIA @ DET,L
DET vs. MIA,W
NYK @ ORL,L
ORL vs. NYK,W
TOR @ BOS,L
BOS vs. TOR,W
LAL vs. SAC,W
SAC @ LAL,L
PHI vs. ATL,W
ATL @ PHI,L
LAC @ NOK,L
NOK vs. LAC,W
ORL @ CHA,L
CHA vs. ORL,W
NJN @ WAS,W
WAS vs. NJN,L
MEM vs. IND,W
IND @ MEM,L
MIN vs. MIA,W
MIA @ MIN,L
SAC vs. SEA,W
SEA @ SAC,L
TOR @ NYK,W
NYK vs. TOR,L
HOU @ DAL,L
DAL vs. HOU,W
UTA vs. PHX,W
PHX @ UTA,L
GSW @ SAS,L
SAS vs. GSW,W
DET vs. ATL,W
ATL @ DET,L
LAL @ BOS,W
BOS vs. LAL,L
MIL @ POR,W
POR vs. MIL,L
LAC @ HOU,W
HOU vs. LAC,L
PHI @ GSW,L
GSW vs. PHI,W
NYK vs. MIA,L
MIA @ NYK,W
CHI @ WAS,L
WAS vs. CHI,W
MEM vs. UTA,W
UTA @ MEM,L
LAL @ CLE,L
CLE vs. LAL,W
ORL @ ATL,L
ATL vs. ORL,W
MIN vs. SAC,W
SAC @ MIN,L
NJN vs. DAL,W
DAL @ NJN,L
BOS @ IND,W
IND vs. BOS,L
DET @ CHA,W
CHA vs. DET,L
DEN @ NOK,W
NOK vs. DEN,L
MIL vs. POR,W
POR @ MIL,L
MIA @ CHI,W
CHI vs. MIA,L
SAS @ HOU,W
HOU vs. SAS,L
NJN vs. LAL,W
LAL @ NJN,L
DAL @ WAS,W
WAS vs. DAL,L
DEN @ MEM,L
MEM vs. DEN,W
PHI @ LAC,L
LAC vs. PHI,W
TOR vs. MIL,W
MIL @ TOR,L
POR @ CLE,L
CLE vs. POR,W
UTA @ ATL,W
ATL vs. UTA,L
ORL vs. BOS,W
BOS @ ORL,L
DET @ NYK,L
NYK vs. DET,W
PHX @ SAS,L
SAS vs. PHX,W
IND vs. SAC,W
SAC @ IND,L
GSW vs. MIN,W
MIN @ GSW,L
PHI @ SEA,L
SEA vs. PHI,W
MIA vs. BOS,W
BOS @ MIA,L
CHA @ WAS,L
WAS vs. CHA,W
LAC @ PHX,L
PHX vs. LAC,W
ATL @ NYK,L
NYK vs. ATL,W
TOR vs. DET,L
DET @ TOR,W
CHI @ MIL,L
MIL vs. CHI,W
IND vs. DEN,L
DEN @ IND,W
HOU vs. DAL,L
DAL @ HOU,W
ORL vs. UTA,W
UTA @ ORL,L
POR @ NJN,L
NJN vs. POR,W
LAL vs. MIN,W
MIN @ LAL,L
NOK @ SAS,L
SAS vs. NOK,W
WAS @ CHA,W
CHA vs. WAS,L
SEA vs. PHX,L
PHX @ SEA,W
CHI vs. POR,W
POR @ CHI,L
PHI vs. TOR,L
TOR @ PHI,W
BOS @ MEM,L
MEM vs. BOS,W
SAC vs. LAL,W
LAL @ SAC,L
UTA @ MIA,L
MIA vs. UTA,W
DAL vs. CLE,W
CLE @ DAL,L
MIN @ LAC,L
LAC vs. MIN,W
MIL vs. ATL,W
ATL @ MIL,L
NYK vs. DEN,L
DEN @ NYK,W
NJN @ HOU,W
HOU vs. NJN,L
ORL @ IND,L
IND vs. ORL,W
MIA vs. CLE,W
CLE @ MIA,L
SEA @ LAL,W
LAL vs. SEA,L
MEM vs. PHI,L
PHI @ MEM,W
DEN @ BOS,L
BOS vs. DEN,W
IND @ TOR,L
TOR vs. IND,W
NJN @ NOK,W
NOK vs. NJN,L
CHA @ DET,L
DET vs. CHA,W
SAC vs. DAL,W
DAL @ SAC,L
PHX @ POR,L
POR vs. PHX,W
SAS vs. HOU,W
HOU @ SAS,L
CHI @ ATL,W
ATL vs. CHI,L
NYK @ CHA,L
CHA vs. NYK,W
WAS vs. DET,W
DET @ WAS,L
GSW @ ORL,L
ORL vs. GSW,W
LAC @ MIL,W
MIL vs. LAC,L
MIN @ PHX,L
PHX vs. MIN,W
UTA vs. DAL,L
DAL @ UTA,W
NOK vs. IND,L
IND @ NOK,W
MIL @ BOS,W
BOS vs. MIL,L
DEN @ TOR,W
TOR vs. DEN,L
ORL vs. CLE,W
CLE @ ORL,L
SAC vs. MEM,W
MEM @ SAC,L
MIN @ SEA,L
SEA vs. MIN,W
GSW @ MIA,W
MIA vs. GSW,L
CHI vs. LAC,L
LAC @ CHI,W
SAS vs. LAL,L
LAL @ SAS,W
PHX vs. SAS,L
SAS @ PHX,W
DAL @ POR,W
POR vs. DAL,L
PHI vs. DEN,L
DEN @ PHI,W
GSW @ CHA,L
CHA vs. GSW,W
PHI @ BOS,L
BOS vs. PHI,W
TOR vs. CLE,L
CLE @ TOR,W
NOK vs. LAL,L
LAL @ NOK,W
CHI @ DET,L
DET vs. CHI,W
SEA vs. MEM,L
MEM @ SEA,W
SAC @ MIL,W
MIL vs. SAC,L
MIA vs. WAS,W
WAS @ MIA,L
MIN @ UTA,L
UTA vs. MIN,W
HOU vs. IND,W
IND @ HOU,L
NYK @ IND,W
IND vs. NYK,L
BOS @ WAS,W
WAS vs. BOS,L
LAC vs. SAS,W
SAS @ LAC,L
TOR @ CLE,L
CLE vs. TOR,W
ATL vs. GSW,W
GSW @ ATL,L
MIN vs. HOU,L
HOU @ MIN,W
CHI vs. NJN,W
NJN @ CHI,L
POR @ DAL,L
DAL vs. POR,W
SAC @ NJN,W
NJN vs. SAC,L
PHX @ NOK,W
NOK vs. PHX,L
CHA vs. MIA,L
MIA @ CHA,W
LAL vs. SAS,L
SAS @ LAL,W
UTA vs. ORL,W
ORL @ UTA,L
DEN vs. MEM,W
MEM @ DEN,L
WAS vs. SAC,W
SAC @ WAS,L
MEM @ LAC,W
LAC vs. MEM,L
CHI @ CLE,L
CLE vs. CHI,W
BOS @ TOR,L
TOR vs. BOS,W
MIN vs. GSW,W
GSW @ MIN,L
SEA vs. UTA,W
UTA @ SEA,L
IND @ PHI,W
PHI vs. IND,L
DAL vs. PHX,L
PHX @ DAL,W
POR @ HOU,L
HOU vs. POR,W
ORL @ DEN,L
DEN vs. ORL,W
NYK @ MIL,W
MIL vs. NYK,L
MIA vs. ATL,W
ATL @ MIA,L
DET @ LAL,L
LAL vs. DET,W
POR @ SAS,L
SAS vs. POR,W
NJN vs. TOR,W
TOR @ NJN,L
BOS vs. IND,W
IND @ BOS,L
LAL @ GSW,W
GSW vs. LAL,L
SAC @ ATL,W
ATL vs. SAC,L
SEA vs. DET,L
DET @ SEA,W
PHX vs. ORL,W
ORL @ PHX,L
NYK vs. CHI,L
CHI @ NYK,W
WAS @ PHI,L
PHI vs. WAS,W
UTA vs. LAC,W
LAC @ UTA,L
DAL vs. CHA,W
CHA @ DAL,L
HOU vs. DEN,W
DEN @ HOU,L
CLE @ CHI,W
CHI vs. CLE,L
DAL @ SAS,L
SAS vs. DAL,W
BOS vs. MIA,L
MIA @ BOS,W
MEM vs. NYK,W
NYK @ MEM,L
NJN @ MIN,L
MIN vs. NJN,W
WAS vs. IND,L
IND @ WAS,W
SAC @ CLE,W
CLE vs. SAC,L
DEN vs. DET,W
DET @ DEN,L
UTA vs. CHA,L
CHA @ UTA,W
MIL @ PHX,L
PHX vs. MIL,W
LAC vs. NOK,W
NOK @ LAC,L
GSW vs. ORL,W
ORL @ GSW,L
ATL @ TOR,W
TOR vs. ATL,L
POR vs. LAL,W
LAL @ POR,L
PHI @ HOU,W
HOU vs. PHI,L
SEA vs. NOK,W
NOK @ SEA,L
MIN @ CHI,L
CHI vs. MIN,W
ORL @ LAL,L
LAL vs. ORL,W
WAS @ MEM,L
MEM vs. WAS,W
CHA @ LAC,L
LAC vs. CHA,W
NJN @ ATL,L
ATL vs. NJN,W
CLE vs. DET,L
DET @ CLE,W
TOR @ MIA,L
MIA vs. TOR,W
SAC vs. POR,W
POR @ SAC,L
PHI @ DAL,L
DAL vs. PHI,W
DEN vs. MIL,L
MIL @ DEN,W
PHX @ HOU,W
HOU vs. PHX,L
SAS vs. NYK,W
NYK @ SAS,L
GSW vs. UTA,L
UTA @ GSW,W
CLE @ DET,L
DET vs. CLE,W
MIN vs. MEM,W
MEM @ MIN,L
ORL vs. HOU,L
HOU @ ORL,W
POR vs. NOK,L
NOK @ POR,W
LAL vs. BOS,L
BOS @ LAL,W
IND @ NJN,W
NJN vs. IND,L
NYK @ WAS,L
WAS vs. NYK,W
ATL vs. MIL,L
MIL @ ATL,W
PHX vs. CHA,W
CHA @ PHX,L
CHI @ PHI,L
PHI vs. CHI,W
SEA @ MIA,L
MIA vs. SEA,W
NOK @ UTA,W
UTA vs. NOK,L
TOR @ DAL,L
DAL vs. TOR,W
SAS vs. GSW,W
GSW @ SAS,L
POR vs. BOS,L
BOS @ POR,W
MEM vs. SAS,L
SAS @ MEM,W
LAC vs. LAL,W
LAL @ LAC,L
WAS @ CLE,W
CLE vs. WAS,L
DEN @ MIN,W
MIN vs. DEN,L
ORL vs. SEA,W
SEA @ ORL,L
MIL vs. PHI,L
PHI @ MIL,W
DET @ CHI,W
CHI vs. DET,L
NJN @ NYK,W
NYK vs. NJN,L
GSW @ HOU,L
HOU vs. GSW,W
ATL @ IND,W
IND vs. ATL,L
DET vs. IND,W
IND @ DET,L
LAL vs. SAC,W
SAC @ LAL,L
MEM @ DAL,L
DAL vs. MEM,W
UTA @ NOK,W
NOK vs. UTA,L
POR vs. CHA,L
CHA @ POR,W
ATL vs. SEA,L
SEA @ ATL,W
PHX vs. BOS,W
BOS @ PHX,L
MIL @ CHI,L
CHI vs. MIL,W
PHI vs. CLE,W
CLE @ PHI,L
NYK vs. MIA,L
MIA @ NYK,W
LAC @ HOU,L
HOU vs. LAC,W
NJN vs. ORL,W
ORL @ NJN,L
LAC @ DAL,L
DAL vs. LAC,W
IND vs. NOK,W
NOK @ IND,L
MIN @ WAS,L
WAS vs. MIN,W
LAL vs. POR,W
POR @ LAL,L
MEM vs. TOR,W
TOR @ MEM,L
CLE vs. ORL,W
ORL @ CLE,L
ATL @ DET,L
DET vs. ATL,W
NJN @ MIL,W
MIL vs. NJN,L
GSW @ SAC,L
SAC vs. GSW,W
BOS @ UTA,W
UTA vs. BOS,L
DEN vs. CHA,W
CHA @ DEN,L
SEA @ SAS,L
SAS vs. SEA,W
HOU @ PHX,L
PHX vs. HOU,W
CHI vs. PHI,W
PHI @ CHI,L
PHX @ DEN,W
DEN vs. PHX,L
ATL @ LAL,W
LAL vs. ATL,L
PHI vs. SAS,W
SAS @ PHI,L
CHA vs. NJN,L
NJN @ CHA,W
GSW vs. LAC,W
LAC @ GSW,L
MEM vs. SAC,W
SAC @ MEM,L
CLE @ BOS,W
BOS vs. CLE,L
POR @ NOK,L
NOK vs. POR,W
ORL vs. MIA,L
MIA @ ORL,W
SEA @ MIN,L
MIN vs. SEA,W
NYK vs. TOR,W
TOR @ NYK,L
DAL vs. WAS,W
WAS @ DAL,L
MIL @ IND,L
IND vs. MIL,W
LAC vs. HOU,L
HOU @ LAC,W
DET vs. NJN,W
NJN @ DET,L
MIL vs. SEA,W
SEA @ MIL,L
SAC @ CHI,W
CHI vs. SAC,L
MIA vs. ORL,W
ORL @ MIA,L
UTA @ LAL,L
LAL vs. UTA,W
MEM @ GSW,W
GSW vs. MEM,L
POR @ CHA,W
CHA vs. POR,L
WAS @ NOK,L
NOK vs. WAS,W
CLE vs. SAS,W
SAS @ CLE,L
MIN vs. TOR,L
TOR @ MIN,W
NYK @ DAL,L
DAL vs. NYK,W
NJN vs. MIL,W
MIL @ NJN,L
WAS vs. PHI,W
PHI @ WAS,L
LAC vs. CHI,L
CHI @ LAC,W
BOS vs. ORL,W
ORL @ BOS,L
POR @ TOR,L
TOR vs. POR,W
SEA vs. DEN,L
DEN @ SEA,W
DET @ MIA,L
MIA vs. DET,W
SAC vs. ATL,W
ATL @ SAC,L
NYK @ HOU,L
HOU vs. NYK,W
IND vs. SAS,L
SAS @ IND,W
GSW @ CLE,W
CLE vs. GSW,L
MIN vs. NOK,L
NOK @ MIN,W
MIL vs. CHA,W
CHA @ MIL,L
MEM @ LAL,W
LAL vs. MEM,L
UTA @ HOU,L
HOU vs. UTA,W
TOR @ CHA,W
CHA vs. TOR,L
WAS vs. CLE,W
CLE @ WAS,L
IND vs. GSW,W
GSW @ IND,L
DET @ ORL,W
ORL vs. DET,L
BOS vs. POR,W
POR @ BOS,L
MEM @ LAC,L
LAC vs. MEM,W
NOK vs. NYK,W
NYK @ NOK,L
MIN vs. UTA,L
UTA @ MIN,W
SEA vs. ATL,W
ATL @ SEA,L
SAC @ PHX,L
PHX vs. SAC,W
DEN vs. DAL,W
DAL @ DEN,L
SAS @ NJN,W
NJN vs. SAS,L
CHI @ SAC,L
SAC vs. CHI,W
MIA @ DAL,L
DAL vs. MIA,W
DET vs. LAC,W
LAC @ DET,L
PHI @ CHA,L
CHA vs. PHI,W
GSW @ WAS,L
WAS vs. GSW,W
SAS @ TOR,W
TOR vs. SAS,L
SEA @ NOK,L
NOK vs. SEA,W
CLE @ MIN,W
MIN vs. CLE,L
MEM @ PHX,L
PHX vs. MEM,W
ORL @ MIL,L
MIL vs. ORL,W
CHI @ DEN,W
DEN vs. CHI,L
HOU vs. LAL,L
LAL @ HOU,W
NYK @ NJN,L
NJN vs. NYK,W
IND vs. POR,W
POR @ IND,L
ATL vs. DET,W
DET @ ATL,L
MEM @ SAC,L
SAC vs. MEM,W
NYK vs. LAC,L
LAC @ NYK,W
DAL vs. LAL,W
LAL @ DAL,L
DEN @ GSW,L
GSW vs. DEN,W
CHA vs. SEA,W
SEA @ CHA,L
WAS vs. ORL,W
ORL @ WAS,L
CLE vs. MIL,W
MIL @ CLE,L
MIN @ PHX,W
PHX vs. MIN,L
MIA vs. BOS,W
BOS @ MIA,L
PHI vs. HOU,L
HOU @ PHI,W
CHI @ UTA,L
UTA vs. CHI,W
NOK @ NJN,L
NJN vs. NOK,W
TOR vs. LAC,L
LAC @ TOR,W
SAC vs. UTA,W
UTA @ SAC,L
NYK vs. HOU,L
HOU @ NYK,W
LAL @ NOK,L
NOK vs. LAL,W
WAS vs. ATL,W
ATL @ WAS,L
MIN @ GSW,L
GSW vs. MIN,W
PHI @ CLE,W
CLE vs. PHI,L
BOS @ ORL,L
ORL vs. BOS,W
MIL vs. MEM,W
MEM @ MIL,L
CHI @ PHX,L
PHX vs. CHI,W
DAL vs. SEA,W
SEA @ DAL,L
POR @ DEN,L
DEN vs. POR,W
NJN vs. MIA,W
MIA @ NJN,L
DET @ IND,L
IND vs. DET,W
HOU vs. SEA,W
SEA @ HOU,L
LAL @ CHA,L
CHA vs. LAL,W
LAC @ BOS,W
BOS vs. LAC,L
NYK @ TOR,L
TOR vs. NYK,W
ORL @ ATL,L
ATL vs. ORL,W
MIN @ POR,L
POR vs. MIN,W
PHI vs. DET,L
DET @ PHI,W
UTA vs. SAC,W
SAC @ UTA,L
SAS @ GSW,W
GSW vs. SAS,L
CLE @ MIA,L
MIA vs. CLE,W
GSW @ SEA,L
SEA vs. GSW,W
CHI @ NOK,L
NOK vs. CHI,W
ATL @ CHA,W
CHA vs. ATL,L
BOS vs. PHX,L
PHX @ BOS,W
MEM vs. DAL,L
DAL @ MEM,W
WAS @ TOR,L
TOR vs. WAS,W
NJN @ CLE,L
CLE vs. NJN,W
MIN @ DET,L
DET vs. MIN,W
LAC @ ORL,W
ORL vs. LAC,L
POR vs. SAS,L
SAS @ POR,W
DEN @ UTA,L
UTA vs. DEN,W
MIL @ HOU,L
HOU vs. MIL,W
IND vs. LAL,W
LAL @ IND,L
PHI vs. PHX,L
PHX @ PHI,W
CHI @ DAL,L
DAL vs. CHI,W
IND @ WAS,L
WAS vs. IND,W
SAC vs. DEN,W
DEN @ SAC,L
LAL @ NYK,W
NYK vs. LAL,L
DET @ NJN,L
NJN vs. DET,W
UTA vs. SAS,L
SAS @ UTA,W
NOK vs. MIL,W
MIL @ NOK,L
ATL vs. NYK,W
NYK @ ATL,L
CHA vs. CLE,L
CLE @ CHA,W
MEM vs. HOU,W
HOU @ MEM,L
MIN vs. BOS,W
BOS @ MIN,L
SEA vs. POR,L
POR @ SEA,W
MIA vs. LAC,W
LAC @ MIA,L
SAC @ TOR,L
TOR vs. SAC,W
HOU vs. MIA,L
MIA @ HOU,W
CLE vs. PHX,W
PHX @ CLE,L
ORL vs. PHI,L
PHI @ ORL,W
DET vs. LAL,W
LAL @ DET,L
BOS @ MIL,L
MIL vs. BOS,W
WAS vs. CHA,W
CHA @ WAS,L
GSW vs. POR,W
POR @ GSW,L
MEM vs. NOK,L
NOK @ MEM,W
LAC vs. DEN,W
DEN @ LAC,L
SEA vs. NJN,W
NJN @ SEA,L
ATL @ CHI,L
CHI vs. ATL,W
NYK @ PHI,L
PHI vs. NYK,W
DAL vs. UTA,W
UTA @ DAL,L
SAS vs. MIN,W
MIN @ SAS,L
PHX @ ATL,W
ATL vs. PHX,L
CHA vs. MIA,L
MIA @ CHA,W
SAC @ BOS,L
BOS vs. SAC,W
DET vs. MEM,W
MEM @ DET,L
TOR @ MIL,L
MIL vs. TOR,W
POR vs. NJN,W
NJN @ POR,L
CHI vs. WAS,W
WAS @ CHI,L
ORL @ NYK,L
NYK vs. ORL,W
LAL vs. GSW,W
GSW @ LAL,L
LAC @ DEN,W
DEN vs. LAC,L
HOU vs. MIN,L
MIN @ HOU,W
IND vs. CLE,L
CLE @ IND,W
SEA vs. DAL,L
DAL @ SEA,W
PHX @ MIA,W
MIA vs. PHX,L
PHI vs. ORL,L
ORL @ PHI,W
ATL vs. CLE,L
CLE @ ATL,W
GSW vs. DAL,L
DAL @ GSW,W
NJN @ LAC,L
LAC vs. NJN,W
MEM vs. MIN,W
MIN @ MEM,L
WAS @ BOS,W
BOS vs. WAS,L
NOK vs. SAS,L
