TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BOS,BOS vs. UTA,03/28/2012,W,240,94,36,77,46.8,4,15,26.7,18,21,85.7,4,34,38,24,6,7,12,20,12
IND,IND @ NJN,03/28/2012,L,240,84,35,77,45.5,6,20,30.0,8,13,61.5,12,27,39,20,6,3,18,20,-16
NJN,NJN vs. IND,03/28/2012,W,240,100,40,82,48.8,7,16,43.8,13,15,86.7,13,30,43,24,11,4,13,17,16
ORL,ORL @ NYK,03/28/2012,L,240,86,31,69,44.9,9,26,34.6,15,26,57.7,9,25,34,14,7,2,19,15,-22
NYK,NYK vs. ORL,03/28/2012,W,240,108,43,85,50.6,12,34,35.3,10,12,83.3,16,33,49,24,7,4,13,23,22
MIN,MIN @ MEM,03/27/2012,L,240,86,33,85,38.8,9,29,31.0,11,13,84.6,12,28,40,13,7,8,14,21,-7
MEM,MEM vs. MIN,03/27/2012,W,240,93,34,80,42.5,0,11,0.0,25,28,89.3,14,35,49,16,9,9,15,15,7
ATL,ATL @ MIL,03/27/2012,L,240,101,42,84,50.0,7,23,30.4,10,17,58.8,13,29,42,27,7,1,22,16,-7
MIL,MIL vs. ATL,03/27/2012,W,240,108,44,88,50.0,5,11,45.5,15,16,93.8,10,26,36,29,10,7,12,16,7
DAL,DAL vs. HOU,03/27/2012,W,240,90,34,73,46.6,6,19,31.6,16,20,80.0,3,40,43,18,7,2,13,14,9
HOU,HOU @ DAL,03/27/2012,L,240,81,33,79,41.8,6,21,28.6,9,12,75.0,4,35,39,17,10,1,13,22,-9
OKC,OKC @ POR,03/27/2012,W,240,109,45,79,57.0,6,17,35.3,13,16,81.3,9,34,43,16,7,8,14,19,14
POR,POR vs. OKC,03/27/2012,L,240,95,34,79,43.0,7,16,43.8,20,25,80.0,10,20,30,15,9,4,12,18,-14
SAS,SAS @ PHX,03/27/2012,W,240,107,45,92,48.9,6,27,22.2,11,13,84.6,15,33,48,24,6,0,10,12,7
PHX,PHX vs. SAS,03/27/2012,L,240,100,41,87,47.1,7,19,36.8,11,12,91.7,8,30,38,14,3,4,8,15,-7
GSW,GSW vs. LAL,03/27/2012,L,240,101,39,91,42.9,6,19,31.6,17,18,94.4,8,27,35,22,4,9,5,25,-3
LAL,LAL @ GSW,03/27/2012,W,240,104,36,86,41.9,5,20,25.0,27,34,79.4,17,35,52,23,3,5,13,13,3
PHI,PHI vs. CLE,03/27/2012,W,240,103,45,92,48.9,10,19,52.6,3,5,60.0,9,34,43,25,8,6,11,22,18
CLE,CLE @ PHI,03/27/2012,L,240,85,28,70,40.0,9,23,39.1,20,28,71.4,9,35,44,19,6,4,18,15,-18
BOS,BOS @ CHA,03/26/2012,W,240,102,33,73,45.2,2,12,16.7,34,45,75.6,8,29,37,21,8,8,10,25,7
CHA,CHA vs. BOS,03/26/2012,L,240,95,33,79,41.8,4,12,33.3,25,35,71.4,7,26,33,25,2,8,12,31,-7
ORL,ORL @ TOR,03/26/2012,W,240,117,44,81,54.3,15,34,44.1,14,19,73.7,8,28,36,26,8,5,9,18,16
TOR,TOR vs. ORL,03/26/2012,L,240,101,35,74,47.3,11,22,50.0,20,24,83.3,8,27,35,25,4,1,12,17,-16
WAS,WAS vs. DET,03/26/2012,L,240,77,32,78,41.0,4,17,23.5,9,14,64.3,8,32,40,21,9,3,17,23,-2
DET,DET @ WAS,03/26/2012,W,240,79,28,76,36.8,3,13,23.1,20,27,74.1,15,34,49,12,8,5,19,23,2
MIA,MIA @ IND,03/26/2012,L,240,90,29,69,42.0,8,20,40.0,24,37,64.9,9,24,33,11,6,7,17,24,-15
IND,IND vs. MIA,03/26/2012,W,240,105,37,81,45.7,10,18,55.6,21,28,75.0,14,35,49,20,8,4,16,29,15
HOU,HOU vs. SAC,03/26/2012,W,265,113,43,89,48.3,4,20,20.0,23,27,85.2,13,36,49,27,6,9,19,21,7
SAC,SAC @ HOU,03/26/2012,L,265,106,41,96,42.7,5,18,27.8,19,26,73.1,18,27,45,17,14,5,17,20,-7
LAC,LAC vs. NOH,03/26/2012,W,240,97,37,74,50.0,8,26,30.8,15,21,71.4,6,17,23,25,14,4,15,26,12
NOH,NOH @ LAC,03/26/2012,L,240,85,31,62,50.0,2,11,18.2,21,31,67.7,9,29,38,23,6,5,29,23,-12
NJN,NJN vs. UTA,03/26/2012,L,240,84,29,81,35.8,5,21,23.8,21,35,60.0,16,27,43,19,9,2,16,17,-21
UTA,UTA @ NJN,03/26/2012,W,240,105,42,81,51.9,5,14,35.7,16,18,88.9,13,36,49,29,10,2,21,22,21
MIL,MIL @ NYK,03/26/2012,L,240,80,31,85,36.5,6,24,25.0,12,18,66.7,9,32,41,17,12,0,20,28,-9
NYK,NYK vs. MIL,03/26/2012,W,240,89,26,74,35.1,7,31,22.6,30,35,85.7,13,41,54,16,9,2,23,19,9
DEN,DEN @ CHI,03/26/2012,W,240,108,44,88,50.0,8,16,50.0,12,16,75.0,14,31,45,24,10,7,9,12,17
CHI,CHI vs. DEN,03/26/2012,L,240,91,35,74,47.3,13,20,65.0,8,11,72.7,5,27,32,24,3,11,16,15,-17
PHX,PHX @ CLE,03/25/2012,W,240,108,42,82,51.2,6,17,35.3,18,26,69.2,13,26,39,31,11,6,11,21,25
CLE,CLE vs. PHX,03/25/2012,L,240,83,27,70,38.6,4,16,25.0,25,30,83.3,13,27,40,17,5,0,22,25,-25
MIA,MIA @ OKC,03/25/2012,L,240,87,33,71,46.5,7,22,31.8,14,14,100.0,4,27,31,17,9,7,21,19,-16
OKC,OKC vs. MIA,03/25/2012,W,240,103,39,74,52.7,6,11,54.5,19,23,82.6,8,28,36,26,13,3,16,18,16
MIN,MIN vs. DEN,03/25/2012,W,240,117,45,99,45.5,12,35,34.3,15,15,100.0,18,24,42,25,6,5,9,19,17
DEN,DEN @ MIN,03/25/2012,L,240,100,41,81,50.6,3,15,20.0,15,22,68.2,11,31,42,19,4,3,17,18,-17
ATL,ATL vs. UTA,03/25/2012,W,340,139,48,107,44.9,6,19,31.6,37,47,78.7,15,49,64,29,5,6,11,30,6
UTA,UTA @ ATL,03/25/2012,L,340,133,49,126,38.9,6,21,28.6,29,35,82.9,23,41,64,28,8,8,10,38,-6
GSW,GSW @ POR,03/25/2012,L,240,87,32,74,43.2,7,22,31.8,16,17,94.1,6,38,44,18,2,5,15,20,-3
POR,POR vs. GSW,03/25/2012,W,240,90,31,85,36.5,10,30,33.3,18,27,66.7,13,29,42,20,8,8,7,12,3
WAS,WAS @ BOS,03/25/2012,L,240,76,30,87,34.5,3,14,21.4,13,19,68.4,16,29,45,12,7,2,15,18,-12
BOS,BOS vs. WAS,03/25/2012,W,240,88,34,70,48.6,3,10,30.0,17,18,94.4,2,37,39,24,9,4,15,18,12
LAL,LAL vs. MEM,03/25/2012,L,240,96,31,73,42.5,7,18,38.9,27,30,90.0,12,26,38,21,9,5,16,14,-6
MEM,MEM @ LAL,03/25/2012,W,240,102,44,86,51.2,6,13,46.2,8,10,80.0,14,28,42,25,9,7,14,22,6
PHI,PHI @ SAS,03/25/2012,L,240,76,35,85,41.2,1,9,11.1,5,11,45.5,12,35,47,18,11,4,21,16,-17
SAS,SAS vs. PHI,03/25/2012,W,240,93,37,81,45.7,7,28,25.0,12,18,66.7,8,38,46,21,15,6,18,16,17
SAS,SAS @ NOH,03/24/2012,W,240,89,36,90,40.0,2,19,10.5,15,17,88.2,16,26,42,17,9,6,7,14,3
NOH,NOH vs. SAS,03/24/2012,L,240,86,37,81,45.7,1,5,20.0,11,12,91.7,11,34,45,21,3,5,16,19,-3
WAS,WAS vs. ATL,03/24/2012,L,240,92,38,85,44.7,4,18,22.2,12,14,85.7,14,25,39,13,6,4,8,19,-3
ATL,ATL @ WAS,03/24/2012,W,240,95,37,76,48.7,7,23,30.4,14,21,66.7,10,31,41,22,5,3,12,17,3
MIL,MIL vs. IND,03/24/2012,L,240,104,40,91,44.0,10,21,47.6,14,18,77.8,12,25,37,30,4,3,12,22,-21
IND,IND @ MIL,03/24/2012,W,240,125,43,84,51.2,7,12,58.3,32,39,82.1,14,35,49,19,9,5,12,20,21
DAL,DAL @ HOU,03/24/2012,W,265,101,37,80,46.3,6,22,27.3,21,24,87.5,5,33,38,17,3,15,8,20,2
HOU,HOU vs. DAL,03/24/2012,L,265,99,37,96,38.5,9,25,36.0,16,18,88.9,16,36,52,20,5,7,9,22,-2
MEM,MEM @ LAC,03/24/2012,L,240,85,33,78,42.3,9,15,60.0,10,14,71.4,14,23,37,26,6,4,17,26,-16
LAC,LAC vs. MEM,03/24/2012,W,240,101,36,72,50.0,5,16,31.3,24,33,72.7,9,27,36,24,8,4,11,16,16
CHA,CHA @ NJN,03/24/2012,L,240,89,35,79,44.3,3,14,21.4,16,22,72.7,8,33,41,21,7,3,16,16,-13
NJN,NJN vs. CHA,03/24/2012,W,240,102,39,88,44.3,5,16,31.3,19,22,86.4,16,30,46,24,9,2,14,19,13
NYK,NYK vs. DET,03/24/2012,W,240,101,38,78,48.7,6,20,30.0,19,30,63.3,18,36,54,20,13,5,22,22,22
DET,DET @ NYK,03/24/2012,L,240,79,28,76,36.8,6,19,31.6,17,22,77.3,8,22,30,13,12,5,17,19,-22
CHI,CHI vs. TOR,03/24/2012,W,265,102,41,103,39.8,3,23,13.0,17,26,65.4,21,23,44,23,12,8,9,19,1
TOR,TOR @ CHI,03/24/2012,L,265,101,39,87,44.8,3,14,21.4,20,25,80.0,22,36,58,19,4,11,20,20,-1
SAC,SAC @ GSW,03/24/2012,L,240,108,43,91,47.3,1,15,6.7,21,27,77.8,16,31,47,23,4,6,15,18,-3
GSW,GSW vs. SAC,03/24/2012,W,240,111,43,88,48.9,7,21,33.3,18,21,85.7,8,31,39,30,5,5,14,25,3
MIL,MIL @ CHA,03/23/2012,W,240,112,48,90,53.3,4,13,30.8,12,21,57.1,13,34,47,31,5,6,9,20,20
CHA,CHA vs. MIL,03/23/2012,L,240,92,34,84,40.5,1,8,12.5,23,26,88.5,11,26,37,19,6,6,11,17,-20
MIN,MIN @ OKC,03/23/2012,L,290,140,49,100,49.0,14,36,38.9,28,36,77.8,11,32,43,24,6,4,17,17,-9
OKC,OKC vs. MIN,03/23/2012,W,290,149,60,113,53.1,10,27,37.0,19,20,95.0,11,39,50,24,12,7,13,26,9
TOR,TOR vs. NYK,03/23/2012,W,240,96,38,83,45.8,1,13,7.7,19,26,73.1,12,34,46,22,7,6,17,21,17
NYK,NYK @ TOR,03/23/2012,L,240,79,32,85,37.6,5,28,17.9,10,18,55.6,10,29,39,22,8,6,22,20,-17
ATL,ATL vs. NJN,03/23/2012,W,240,93,36,77,46.8,7,21,33.3,14,20,70.0,5,33,38,19,4,4,11,19,9
NJN,NJN @ ATL,03/23/2012,L,240,84,32,80,40.0,6,25,24.0,14,21,66.7,12,33,45,17,3,4,11,18,-9
IND,IND vs. PHX,03/23/2012,L,240,111,42,81,51.9,7,11,63.6,20,22,90.9,11,28,39,20,4,7,16,30,-2
PHX,PHX @ IND,03/23/2012,W,240,113,41,84,48.8,5,17,29.4,26,37,70.3,14,23,37,22,6,2,13,20,2
DEN,DEN @ UTA,03/23/2012,L,240,102,36,78,46.2,6,18,33.3,24,32,75.0,16,25,41,22,8,5,19,25,-19
UTA,UTA vs. DEN,03/23/2012,W,240,121,48,81,59.3,7,15,46.7,18,29,62.1,11,27,38,32,10,8,14,22,19
MIA,MIA @ DET,03/23/2012,W,240,88,34,77,44.2,2,16,12.5,18,20,90.0,9,36,45,24,15,4,17,15,15
DET,DET vs. MIA,03/23/2012,L,240,73,29,75,38.7,6,15,40.0,9,17,52.9,11,27,38,16,10,2,23,20,-15
CLE,CLE @ ORL,03/23/2012,L,240,80,31,82,37.8,4,18,22.2,14,21,66.7,16,26,42,10,10,2,14,14,-13
ORL,ORL vs. CLE,03/23/2012,W,240,93,37,79,46.8,12,35,34.3,7,12,58.3,12,35,47,24,10,7,20,19,13
LAL,LAL vs. POR,03/23/2012,W,240,103,40,85,47.1,6,19,31.6,17,26,65.4,17,36,53,33,6,5,15,14,7
POR,POR @ LAL,03/23/2012,L,240,96,36,82,43.9,8,20,40.0,16,19,84.2,6,23,29,18,9,1,10,18,-7
DAL,DAL @ SAS,03/23/2012,L,240,87,31,81,38.3,11,26,42.3,14,17,82.4,4,30,34,13,7,7,11,10,-17
SAS,SAS vs. DAL,03/23/2012,W,240,104,43,88,48.9,9,25,36.0,9,11,81.8,12,42,54,28,6,7,13,17,17
BOS,BOS @ PHI,03/23/2012,L,240,86,36,74,48.6,4,10,40.0,10,13,76.9,3,32,35,28,2,6,13,15,-13
PHI,PHI vs. BOS,03/23/2012,W,240,99,41,92,44.6,3,10,30.0,14,18,77.8,14,32,46,24,7,4,9,13,13
IND,IND @ WAS,03/22/2012,W,240,85,31,74,41.9,4,18,22.2,19,28,67.9,14,26,40,17,13,3,17,21,2
WAS,WAS vs. IND,03/22/2012,L,240,83,30,71,42.3,5,18,27.8,18,23,78.3,5,30,35,19,10,3,17,21,-2
NOH,NOH vs. LAC,03/22/2012,W,240,97,34,59,57.6,2,5,40.0,27,34,79.4,6,33,39,21,4,8,20,24,7
LAC,LAC @ NOH,03/22/2012,L,240,90,35,90,38.9,5,27,18.5,15,24,62.5,22,20,42,18,11,0,11,30,-7
SAC,SAC vs. UTA,03/22/2012,L,240,102,43,106,40.6,4,15,26.7,12,21,57.1,26,29,55,28,10,6,13,16,-1
UTA,UTA @ SAC,03/22/2012,W,240,103,43,91,47.3,3,17,17.6,14,17,82.4,11,34,45,23,4,14,15,17,1
BOS,BOS @ MIL,03/22/2012,W,240,100,43,89,48.3,7,17,41.2,7,10,70.0,6,41,47,30,13,11,12,18,9
MIL,MIL vs. BOS,03/22/2012,L,240,91,36,90,40.0,3,15,20.0,16,20,80.0,11,38,49,23,6,7,15,9,-9
POR,POR vs. MEM,03/22/2012,W,240,97,31,73,42.5,10,25,40.0,25,25,100.0,8,30,38,22,6,6,18,20,4
MEM,MEM @ POR,03/22/2012,L,240,93,37,81,45.7,3,8,37.5,16,23,69.6,13,28,41,22,9,2,13,22,-4
HOU,HOU vs. GSW,03/22/2012,W,240,109,40,85,47.1,6,17,35.3,23,27,85.2,14,34,48,23,8,6,15,15,26
GSW,GSW @ HOU,03/22/2012,L,240,83,34,82,41.5,6,16,37.5,9,10,90.0,8,24,32,21,5,6,17,20,-26
OKC,OKC vs. LAC,03/21/2012,W,240,114,42,78,53.8,9,22,40.9,21,22,95.5,14,35,49,20,6,9,17,18,23
LAC,LAC @ OKC,03/21/2012,L,240,91,29,79,36.7,12,26,46.2,21,27,77.8,10,21,31,19,11,2,13,20,-23
TOR,TOR vs. CHI,03/21/2012,L,240,82,35,85,41.2,1,8,12.5,11,11,100.0,9,32,41,23,10,3,10,18,-12
CHI,CHI @ TOR,03/21/2012,W,240,94,36,82,43.9,7,16,43.8,15,23,65.2,12,37,49,20,5,5,14,11,12
GSW,GSW @ NOH,03/21/2012,W,240,101,39,89,43.8,14,29,48.3,9,10,90.0,8,25,33,27,8,10,9,16,9
NOH,NOH vs. GSW,03/21/2012,L,240,92,39,79,49.4,3,9,33.3,11,14,78.6,10,37,47,31,5,9,16,9,-9
DET,DET @ DEN,03/21/2012,L,240,115,40,79,50.6,14,18,77.8,21,30,70.0,7,23,30,26,13,5,11,17,-1
DEN,DEN vs. DET,03/21/2012,W,240,116,46,79,58.2,9,17,52.9,15,22,68.2,11,36,47,28,5,6,20,26,1
LAL,LAL @ DAL,03/21/2012,W,240,109,45,77,58.4,9,18,50.0,10,13,76.9,9,37,46,25,4,5,14,12,16
DAL,DAL vs. LAL,03/21/2012,L,240,93,35,82,42.7,8,26,30.8,15,22,68.2,7,22,29,15,13,2,7,15,-16
CLE,CLE @ ATL,03/21/2012,L,265,102,36,78,46.2,6,19,31.6,24,33,72.7,11,43,54,23,5,3,19,21,-1
ATL,ATL vs. CLE,03/21/2012,W,265,103,37,93,39.8,8,20,40.0,21,24,87.5,11,27,38,23,12,6,7,25,1
PHX,PHX @ ORL,03/21/2012,L,240,93,38,79,48.1,4,12,33.3,13,19,68.4,11,29,40,16,10,3,17,19,-10
ORL,ORL vs. PHX,03/21/2012,W,240,103,39,83,47.0,11,23,47.8,14,21,66.7,14,29,43,23,6,4,17,13,10
WAS,WAS @ NJN,03/21/2012,W,240,108,40,83,48.2,6,17,35.3,22,29,75.9,14,32,46,17,10,5,13,25,19
NJN,NJN vs. WAS,03/21/2012,L,240,89,31,84,36.9,6,20,30.0,21,27,77.8,16,29,45,15,9,2,16,19,-19
MIN,MIN @ SAS,03/21/2012,L,240,100,39,88,44.3,7,22,31.8,15,20,75.0,9,32,41,20,8,4,14,19,-16
SAS,SAS vs. MIN,03/21/2012,W,240,116,45,95,47.4,7,19,36.8,19,25,76.0,17,39,56,29,10,3,14,21,16
NYK,NYK @ PHI,03/21/2012,W,240,82,29,79,36.7,2,13,15.4,22,28,78.6,14,33,47,12,6,4,13,24,3
PHI,PHI vs. NYK,03/21/2012,L,240,79,29,75,38.7,8,17,47.1,13,18,72.2,10,29,39,20,7,10,13,22,-3
SAC,SAC vs. MEM,03/20/2012,W,240,119,47,88,53.4,4,17,23.5,21,32,65.6,13,34,47,28,11,6,14,21,9
MEM,MEM @ SAC,03/20/2012,L,240,110,43,90,47.8,4,16,25.0,20,25,80.0,11,26,37,24,6,2,14,25,-9
IND,IND vs. LAC,03/20/2012,W,240,102,35,72,48.6,8,14,57.1,24,26,92.3,11,29,40,19,2,7,13,23,13
LAC,LAC @ IND,03/20/2012,L,240,89,37,85,43.5,6,22,27.3,9,20,45.0,15,22,37,14,6,7,9,21,-13
UTA,UTA vs. OKC,03/20/2012,W,240,97,38,80,47.5,5,10,50.0,16,22,72.7,12,31,43,19,8,7,15,21,7
OKC,OKC @ UTA,03/20/2012,L,240,90,30,71,42.3,8,19,42.1,22,30,73.3,15,26,41,15,6,6,20,24,-7
MIA,MIA vs. PHX,03/20/2012,W,240,99,36,76,47.4,1,9,11.1,26,35,74.3,13,28,41,24,13,8,12,19,4
PHX,PHX @ MIA,03/20/2012,L,240,95,36,80,45.0,6,15,40.0,17,24,70.8,14,27,41,21,6,8,20,25,-4
MIL,MIL @ POR,03/20/2012,W,240,116,48,83,57.8,11,21,52.4,9,13,69.2,6,29,35,35,10,6,13,19,29
POR,POR vs. MIL,03/20/2012,L,240,87,29,82,35.4,7,24,29.2,22,26,84.6,17,27,44,14,7,2,20,17,-29
HOU,HOU vs. LAL,03/20/2012,W,240,107,39,80,48.8,9,20,45.0,20,27,74.1,16,24,40,24,9,5,18,18,3
LAL,LAL @ HOU,03/20/2012,L,240,104,42,83,50.6,6,16,37.5,14,16,87.5,9,22,31,18,7,5,15,17,-3
NYK,NYK vs. TOR,03/20/2012,W,240,106,39,81,48.1,5,16,31.3,23,33,69.7,16,30,46,23,12,5,12,21,19
TOR,TOR @ NYK,03/20/2012,L,240,87,33,69,47.8,2,13,15.4,19,22,86.4,4,26,30,15,4,3,17,25,-19
CHA,CHA vs. PHI,03/19/2012,L,240,80,29,75,38.7,2,8,25.0,20,28,71.4,9,22,31,23,7,7,9,10,-25
PHI,PHI @ CHA,03/19/2012,W,240,105,46,86,53.5,5,11,45.5,8,9,88.9,15,36,51,26,5,6,12,21,25
DEN,DEN vs. DAL,03/19/2012,L,240,95,36,83,43.4,6,21,28.6,17,20,85.0,5,30,35,26,6,1,13,15,-17
DAL,DAL @ DEN,03/19/2012,W,240,112,45,84,53.6,10,25,40.0,12,15,80.0,5,40,45,33,11,4,14,19,17
BOS,BOS @ ATL,03/19/2012,W,240,79,29,74,39.2,6,16,37.5,15,17,88.2,6,34,40,21,9,6,17,23,3
ATL,ATL vs. BOS,03/19/2012,L,240,76,29,75,38.7,5,15,33.3,13,19,68.4,9,36,45,15,5,2,17,19,-3
ORL,ORL vs. CHI,03/19/2012,L,240,59,24,68,35.3,4,20,20.0,7,18,38.9,10,28,38,9,9,5,19,12,-26
CHI,CHI @ ORL,03/19/2012,W,240,85,35,79,44.3,7,18,38.9,8,11,72.7,11,37,48,19,10,3,16,17,26
CLE,CLE @ NJN,03/19/2012,W,240,105,41,89,46.1,5,15,33.3,18,27,66.7,21,34,55,21,6,3,11,25,5
NJN,NJN vs. CLE,03/19/2012,L,240,100,34,81,42.0,6,23,26.1,26,31,83.9,10,27,37,15,6,6,12,24,-5
GSW,GSW vs. MIN,03/19/2012,L,240,93,34,80,42.5,10,26,38.5,15,20,75.0,6,27,33,22,9,5,8,20,-4
MIN,MIN @ GSW,03/19/2012,W,240,97,35,74,47.3,9,21,42.9,18,23,78.3,9,39,48,24,5,5,17,14,4
POR,POR @ OKC,03/18/2012,L,240,95,39,84,46.4,8,21,38.1,9,14,64.3,11,24,35,15,8,3,12,16,-16
OKC,OKC vs. POR,03/18/2012,W,240,111,41,74,55.4,11,18,61.1,18,28,64.3,10,33,43,24,8,8,15,16,16
MEM,MEM vs. WAS,03/18/2012,W,240,97,34,85,40.0,2,7,28.6,27,37,73.0,20,33,53,18,12,3,14,19,5
WAS,WAS @ MEM,03/18/2012,L,240,92,37,78,47.4,6,18,33.3,12,19,63.2,9,31,40,16,11,11,21,25,-5
MIN,MIN @ SAC,03/18/2012,L,240,99,38,92,41.3,6,25,24.0,17,17,100.0,17,34,51,18,5,5,21,19,-16
SAC,SAC vs. MIN,03/18/2012,W,240,115,44,96,45.8,8,28,28.6,19,21,90.5,11,31,42,21,11,4,11,17,16
MIA,MIA vs. ORL,03/18/2012,W,240,91,34,74,45.9,2,8,25.0,21,27,77.8,8,34,42,19,8,7,13,20,10
ORL,ORL @ MIA,03/18/2012,L,240,81,30,76,39.5,9,25,36.0,12,21,57.1,9,27,36,18,9,2,20,19,-10
CLE,CLE vs. ATL,03/18/2012,L,240,87,33,84,39.3,5,20,25.0,16,20,80.0,14,29,43,21,4,4,15,16,-16
ATL,ATL @ CLE,03/18/2012,W,240,103,43,85,50.6,8,18,44.4,9,12,75.0,9,32,41,22,5,7,12,16,16
LAC,LAC vs. DET,03/18/2012,W,265,87,35,87,40.2,4,20,20.0,13,19,68.4,10,30,40,23,12,4,11,23,4
DET,DET @ LAC,03/18/2012,L,265,83,31,81,38.3,2,16,12.5,19,23,82.6,13,34,47,16,3,8,18,20,-4
HOU,HOU @ PHX,03/18/2012,L,240,86,35,82,42.7,1,11,9.1,15,22,68.2,15,33,48,19,6,2,16,20,-13
PHX,PHX vs. HOU,03/18/2012,W,240,99,40,85,47.1,7,20,35.0,12,19,63.2,10,29,39,25,9,6,11,18,13
LAL,LAL vs. UTA,03/18/2012,L,240,99,33,73,45.2,2,13,15.4,31,40,77.5,7,38,45,24,6,6,24,20,-4
UTA,UTA @ LAL,03/18/2012,W,240,103,43,91,47.3,2,10,20.0,15,22,68.2,10,31,41,28,12,4,13,27,4
TOR,TOR @ CHA,03/17/2012,L,240,103,38,73,52.1,8,18,44.4,19,24,79.2,10,25,35,20,12,6,24,36,-4
CHA,CHA vs. TOR,03/17/2012,W,240,107,36,71,50.7,4,9,44.4,31,34,91.2,7,21,28,25,7,1,19,21,4
DEN,DEN vs. BOS,03/17/2012,W,240,98,34,74,45.9,7,20,35.0,23,31,74.2,14,32,46,26,10,4,22,17,7
BOS,BOS @ DEN,03/17/2012,L,240,91,36,76,47.4,3,15,20.0,16,17,94.1,4,23,27,27,7,7,16,21,-7
DAL,DAL vs. SAS,03/17/2012,W,240,106,37,79,46.8,11,24,45.8,21,25,84.0,9,39,48,21,5,2,11,15,7
SAS,SAS @ DAL,03/17/2012,L,240,99,39,79,49.4,11,24,45.8,10,18,55.6,5,30,35,24,4,3,11,24,-7
NYK,NYK @ IND,03/17/2012,W,240,102,32,77,41.6,7,24,29.2,31,40,77.5,14,32,46,16,8,7,12,22,14
IND,IND vs. NYK,03/17/2012,L,240,88,32,79,40.5,4,19,21.1,20,27,74.1,13,29,42,16,3,6,15,26,-14
GSW,GSW @ UTA,03/17/2012,L,265,92,33,80,41.3,6,25,24.0,20,25,80.0,3,37,40,14,9,7,13,21,-7
UTA,UTA vs. GSW,03/17/2012,W,265,99,42,101,41.6,2,13,15.4,13,16,81.3,20,45,65,20,8,7,15,19,7
LAC,LAC vs. HOU,03/17/2012,W,240,95,35,86,40.7,6,23,26.1,19,27,70.4,19,26,45,18,10,4,12,17,4
HOU,HOU @ LAC,03/17/2012,L,240,91,35,72,48.6,6,20,30.0,15,18,83.3,6,29,35,25,7,1,17,25,-4
NOH,NOH @ NJN,03/17/2012,W,240,102,41,81,50.6,8,16,50.0,12,13,92.3,11,31,42,29,6,4,12,14,8
NJN,NJN vs. NOH,03/17/2012,L,240,94,36,86,41.9,10,23,43.5,12,14,85.7,14,25,39,23,7,7,14,13,-8
PHI,PHI @ CHI,03/17/2012,L,240,80,33,79,41.8,3,13,23.1,11,15,73.3,9,30,39,16,8,1,13,20,-9
CHI,CHI vs. PHI,03/17/2012,W,240,89,31,77,40.3,6,21,28.6,21,31,67.7,17,36,53,15,6,8,15,11,9
SAS,SAS @ OKC,03/16/2012,W,240,114,45,87,51.7,9,19,47.4,15,25,60.0,15,34,49,16,12,8,19,18,9
OKC,OKC vs. SAS,03/16/2012,L,240,105,39,88,44.3,9,25,36.0,18,20,90.0,11,26,37,17,7,10,16,23,-9
MEM,MEM vs. TOR,03/16/2012,L,265,110,37,82,45.1,5,16,31.3,31,51,60.8,15,30,45,19,12,9,18,29,-4
TOR,TOR @ MEM,03/16/2012,W,265,114,39,81,48.1,7,15,46.7,29,38,76.3,9,30,39,19,9,6,22,35,4
BOS,BOS @ SAC,03/16/2012,L,240,95,36,80,45.0,6,19,31.6,17,21,81.0,5,23,28,25,7,6,19,17,-25
SAC,SAC vs. BOS,03/16/2012,W,240,120,46,86,53.5,9,21,42.9,19,21,90.5,9,36,45,29,12,3,15,20,25
WAS,WAS @ ATL,03/16/2012,L,240,88,38,78,48.7,5,11,45.5,7,9,77.8,9,30,39,19,5,6,22,16,-14
ATL,ATL vs. WAS,03/16/2012,W,240,102,40,83,48.2,12,27,44.4,10,13,76.9,9,25,34,30,13,4,11,12,14
NJN,NJN @ ORL,03/16/2012,L,240,70,28,83,33.7,6,20,30.0,8,10,80.0,12,27,39,16,13,0,14,14,-16
ORL,ORL vs. NJN,03/16/2012,W,240,86,34,67,50.7,8,29,27.6,10,14,71.4,4,37,41,24,8,6,20,12,16
PHX,PHX vs. DET,03/16/2012,W,240,109,41,83,49.4,10,20,50.0,17,22,77.3,14,26,40,32,6,6,13,16,8
DET,DET @ PHX,03/16/2012,L,240,101,40,78,51.3,8,15,53.3,13,18,72.2,8,24,32,23,6,3,16,16,-8
NYK,NYK vs. IND,03/16/2012,W,240,115,41,81,50.6,11,25,44.0,22,28,78.6,10,34,44,22,12,7,12,24,15
IND,IND @ NYK,03/16/2012,L,240,100,32,81,39.5,8,19,42.1,28,34,82.4,9,30,39,17,4,2,18,24,-15
POR,POR @ CHI,03/16/2012,W,240,100,39,79,49.4,11,21,52.4,11,12,91.7,9,26,35,17,3,3,10,15,11
CHI,CHI vs. POR,03/16/2012,L,240,89,36,85,42.4,8,27,29.6,9,11,81.8,18,27,45,21,3,4,9,15,-11
LAL,LAL vs. MIN,03/16/2012,W,240,97,33,80,41.3,10,22,45.5,21,27,77.8,11,36,47,21,7,12,13,17,5
MIN,MIN @ LAL,03/16/2012,L,240,92,37,92,40.2,4,22,18.2,14,20,70.0,18,37,55,21,7,2,12,21,-5
MIL,MIL @ GSW,03/16/2012,W,240,120,45,93,48.4,10,22,45.5,20,22,90.9,16,38,54,33,12,4,8,19,22
