TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
HOU,HOU @ LAL,04/06/2012,W,240,112,42,88,47.7,10,17,58.8,18,22,81.8,9,26,35,24,9,3,15,24,5
LAL,LAL vs. HOU,04/06/2012,L,240,107,36,84,42.9,3,11,27.3,32,36,88.9,13,35,48,23,6,5,15,20,-5
NOH,NOH @ SAS,04/06/2012,L,240,103,36,77,46.8,5,12,41.7,26,35,74.3,8,21,29,11,10,4,14,17,-25
SAS,SAS vs. NOH,04/06/2012,W,240,128,51,84,60.7,9,18,50.0,17,21,81.0,11,29,40,31,8,8,13,21,25
LAC,LAC @ SAC,04/05/2012,W,240,93,36,80,45.0,5,19,26.3,16,24,66.7,13,30,43,17,12,3,18,17,8
SAC,SAC vs. LAC,04/05/2012,L,240,85,35,84,41.7,4,17,23.5,11,15,73.3,18,26,44,19,10,9,18,21,-8
WAS,WAS @ DET,04/05/2012,L,240,94,33,78,42.3,7,21,33.3,21,29,72.4,13,25,38,19,10,1,18,33,-5
DET,DET vs. WAS,04/05/2012,W,240,99,36,68,52.9,4,10,40.0,23,39,59.0,11,29,40,16,7,2,19,23,5
NYK,NYK @ ORL,04/05/2012,W,240,96,38,78,48.7,13,25,52.0,7,15,46.7,10,31,41,24,7,0,12,16,16
ORL,ORL vs. NYK,04/05/2012,L,240,80,30,72,41.7,9,24,37.5,11,16,68.8,8,27,35,15,3,3,15,14,-16
BOS,BOS @ CHI,04/05/2012,L,240,86,33,77,42.9,5,13,38.5,15,18,83.3,7,29,36,22,8,2,14,24,-7
CHI,CHI vs. BOS,04/05/2012,W,240,93,33,80,41.3,5,16,31.3,22,26,84.6,14,30,44,22,8,8,12,18,7
DEN,DEN @ NOH,04/04/2012,L,240,92,35,83,42.2,6,20,30.0,16,22,72.7,12,20,32,25,7,1,9,22,-2
NOH,NOH vs. DEN,04/04/2012,W,240,94,35,67,52.2,5,10,50.0,19,27,70.4,11,30,41,23,5,10,19,23,2
