MATCH UP,W/L
CHI @ CHA,W
CHA vs. CHI,L
OKC vs. MEM,W
MEM @ OKC,L
NYK @ TOR,L
TOR vs. NYK,W
IND @ WAS,L
WAS vs. IND,W
MIN vs. DET,L
DET @ MIN,W
DAL vs. SAS,W
SAS @ DAL,L
ATL vs. CLE,W
CLE @ ATL,L
PHX @ UTA,W
UTA vs. PHX,L
GSW @ POR,W
POR vs. GSW,L
NJN @ MIA,L
MIA vs. NJN,W
NOH @ HOU,W
HOU vs. NOH,L
PHI @ ORL,L
ORL vs. PHI,W
LAL @ LAC,L
LAC vs. LAL,W
BOS vs. MIL,L
MIL @ BOS,W
DEN @ PHX,L
PHX vs. DEN,W
CHI vs. BOS,W
BOS @ CHI,L
SAC @ LAL,L
LAL vs. SAC,W
UTA @ GSW,W
GSW vs. UTA,L
MEM @ DEN,L
DEN vs. MEM,W
ATL @ MIL,W
MIL vs. ATL,L
SAC vs. HOU,L
HOU @ SAC,W
IND vs. ORL,L
ORL @ IND,W
POR vs. OKC,W
OKC @ POR,L
DET vs. TOR,L
TOR @ DET,W
LAC vs. DAL,L
DAL @ LAC,W
CHA @ NJN,W
NJN vs. CHA,L
WAS @ NYK,L
NYK vs. WAS,W
SAS vs. MIN,W
MIN @ SAS,L
MIA @ PHI,W
PHI vs. MIA,L
CHI @ TOR,W
TOR vs. CHI,L
MIN @ NOH,L
NOH vs. MIN,W
CLE vs. ORL,L
ORL @ CLE,W
PHX vs. HOU,W
HOU @ PHX,L
MIA @ NYK,W
NYK vs. MIA,L
POR @ LAL,W
LAL vs. POR,L
OKC @ GSW,L
GSW vs. OKC,W
CHA vs. DET,W
DET @ CHA,L
MEM vs. PHI,L
PHI @ MEM,W
ATL @ WAS,W
WAS vs. ATL,L
SAS @ DEN,W
DEN vs. SAS,L
DAL @ SAC,W
SAC vs. DAL,L
BOS @ MIL,W
MIL vs. BOS,L
IND vs. NJN,W
NJN @ IND,L
LAC vs. GSW,W
GSW @ LAC,L
OKC vs. PHX,W
PHX @ OKC,L
UTA @ NOH,W
NOH vs. UTA,L
LAL @ MIN,W
MIN vs. LAL,L
ATL vs. TOR,W
TOR @ ATL,L
POR vs. DAL,L
DAL @ POR,W
MIA vs. DET,L
DET @ MIA,W
HOU vs. CHA,W
CHA @ HOU,L
CLE vs. IND,L
IND @ CLE,W
ORL vs. NYK,W
NYK @ ORL,L
WAS @ BOS,W
BOS vs. WAS,L
CHI @ NJN,L
NJN vs. CHI,W
MEM @ SAS,W
SAS vs. MEM,L
PHI vs. MIL,L
MIL @ PHI,W
DEN vs. LAL,W
LAL @ DEN,L
LAC @ SAC,L
SAC vs. LAC,W
CLE @ CHI,L
