MATCH UP,W/L
SAS @ NOP,L
NOP vs. SAS,W
OKC vs. MEM,W
MEM @ OKC,L
MIN vs. DEN,W
DEN @ MIN,L
SAC vs. HOU,W
HOU @ SAC,L
POR vs. UTA,W
UTA @ POR,L
MIA vs. TOR,W
TOR @ MIA,L
CLE vs. NYK,L
NYK @ CLE,W
WAS @ ORL,L
ORL vs. WAS,W
LAL @ LAC,W
LAC vs. LAL,L
BKN @ BOS,L
BOS vs. BKN,W
DET @ CHI,W
CHI vs. DET,L
PHI vs. MIL,W
MIL @ PHI,L
BOS @ WAS,L
WAS vs. BOS,W
DAL vs. PHX,L
PHX @ DAL,W
ATL vs. PHI,L
PHI @ ATL,W
UTA vs. GSW,W
GSW @ UTA,L
CHA @ IND,W
IND vs. CHA,L
LAL vs. HOU,L
HOU @ LAL,W
MIN vs. MEM,W
MEM @ MIN,L
POR @ DEN,L
DEN vs. POR,W
MIL vs. ORL,W
ORL @ MIL,L
OKC @ MIA,W
MIA vs. OKC,L
DET vs. TOR,L
TOR @ DET,W
NOP @ LAC,W
LAC vs. NOP,L
CHI @ BKN,L
BKN vs. CHI,W
NYK vs. CLE,L
CLE @ NYK,W
SAC @ SAS,L
SAS vs. SAC,W
MEM vs. DET,W
DET @ MEM,L
TOR vs. ORL,W
ORL @ TOR,L
IND @ CHA,W
CHA vs. IND,L
BOS vs. ATL,L
ATL @ BOS,W
PHX vs. GSW,L
GSW @ PHX,W
UTA @ LAL,W
LAL vs. UTA,L
DAL @ PHI,L
PHI vs. DAL,W
OKC @ HOU,W
HOU vs. OKC,L
DEN @ LAC,W
LAC vs. DEN,L
MIL @ NYK,W
NYK vs. MIL,L
BKN @ CHI,W
CHI vs. BKN,L
POR @ SAS,L
SAS vs. POR,W
NOP @ GSW,W
GSW vs. NOP,L
MEM vs. SAC,L
SAC @ MEM,W
TOR vs. IND,W
IND @ TOR,L
ATL @ WAS,W
WAS vs. ATL,L
DAL @ DET,L
DET vs. DAL,W
CHA @ ORL,W
ORL vs. CHA,L
BOS vs. CHI,W
CHI @ BOS,L
PHX vs. NOP,L
NOP @ PHX,W
NYK vs. MIA,W
MIA @ NYK,L
LAL vs. MIN,L
MIN @ LAL,W
PHI vs. CLE,W
CLE @ PHI,L
MIN @ DEN,L
DEN vs. MIN,W
MIL vs. BKN,L
BKN @ MIL,W
UTA vs. LAC,W
LAC @ UTA,L
IND vs. GSW,W
GSW @ IND,L
POR @ HOU,L
HOU vs. POR,W
WAS @ CLE,L
CLE vs. WAS,W
NOP vs. MEM,W
MEM @ NOP,L
TOR vs. BOS,W
BOS @ TOR,L
MIA @ ATL,W
ATL vs. MIA,L
PHI @ DET,W
DET vs. PHI,L
DAL @ ORL,L
ORL vs. DAL,W
LAL vs. SAS,W
SAS @ LAL,L
OKC vs. GSW,L
GSW @ OKC,W
IND @ DEN,L
DEN vs. IND,W
DAL vs. POR,W
POR @ DAL,L
MIL vs. BOS,W
BOS @ MIL,L
LAL @ UTA,L
UTA vs. LAL,W
MIA vs. ATL,W
ATL @ MIA,L
WAS @ HOU,L
HOU vs. WAS,W
CLE vs. TOR,W
TOR @ CLE,L
SAS @ LAC,L
LAC vs. SAS,W
SAC @ PHX,L
PHX vs. SAC,W
NYK vs. ORL,L
ORL @ NYK,W
CHA @ CHI,L
CHI vs. CHA,W
PHI vs. BKN,W
BKN @ PHI,L
OKC @ NOP,W
NOP vs. OKC,L
PHI @ CHA,W
CHA vs. PHI,L
UTA @ MIN,W
MIN vs. UTA,L
