MATCH UP,W/L
DEN vs. GSW,L
GSW @ DEN,W
CHI @ CHA,L
CHA vs. CHI,W
NOP vs. HOU,W
HOU @ NOP,L
DET @ OKC,L
OKC vs. DET,W
DAL @ MEM,L
MEM vs. DAL,W
MIN vs. UTA,L
UTA @ MIN,W
PHX @ SAC,W
SAC vs. PHX,L
MIL vs. ATL,L
ATL @ MIL,W
LAC @ POR,L
POR vs. LAC,W
PHI @ MIA,W
MIA vs. PHI,L
CLE vs. BKN,W
BKN @ CLE,L
IND @ ORL,W
ORL vs. IND,L
WAS @ BOS,W
BOS vs. WAS,L
NYK vs. TOR,W
TOR @ NYK,L
SAS vs. LAL,L
LAL @ SAS,W
LAC vs. DEN,W
DEN @ LAC,L
NYK @ BKN,W
BKN vs. NYK,L
NOP vs. OKC,W
OKC @ NOP,L
WAS vs. MIA,W
MIA @ WAS,L
TOR vs. MIL,W
MIL @ TOR,L
ATL vs. CHA,L
CHA @ ATL,W
LAL @ UTA,W
UTA vs. LAL,L
HOU vs. SAS,W
SAS @ HOU,L
PHX vs. MEM,L
MEM @ PHX,W
ORL @ CHI,L
CHI vs. ORL,W
GSW vs. MIN,W
MIN @ GSW,L
BOS @ PHI,L
PHI vs. BOS,W
MIN @ SAC,L
SAC vs. MIN,W
IND vs. OKC,W
OKC @ IND,L
POR vs. GSW,W
GSW @ POR,L
TOR @ DET,W
DET vs. TOR,L
ORL @ BKN,L
BKN vs. ORL,W
CHI @ NYK,L
NYK vs. CHI,W
LAL vs. MEM,L
MEM @ LAL,W
CHA vs. PHI,W
PHI @ CHA,L
MIL @ WAS,L
WAS vs. MIL,W
DEN vs. UTA,W
UTA @ DEN,L
DAL vs. PHX,W
PHX @ DAL,L
ATL vs. MIA,W
MIA @ ATL,L
HOU vs. NOP,W
NOP @ HOU,L
CLE vs. BOS,L
BOS @ CLE,W
LAC vs. SAC,W
SAC @ LAC,L
NOP @ OKC,L
OKC vs. NOP,W
PHI @ MEM,L
MEM vs. PHI,W
TOR vs. NYK,L
NYK @ TOR,W
MIN vs. HOU,W
HOU @ MIN,L
MIL vs. CLE,W
CLE @ MIL,L
POR @ UTA,W
UTA vs. POR,L
MIA vs. IND,W
IND @ MIA,L
WAS @ ORL,W
ORL vs. WAS,L
CHA @ BOS,L
BOS vs. CHA,W
BKN vs. ATL,L
ATL @ BKN,W
DET @ CHI,L
CHI vs. DET,W
LAL vs. GSW,L
GSW @ LAL,W
SAS vs. PHX,W
PHX @ SAS,L
DAL vs. SAS,L
SAS @ DAL,W
DEN @ GSW,W
GSW vs. DEN,L
PHX @ NOP,W
NOP vs. PHX,L
MIA @ MEM,L
MEM vs. MIA,W
CHA @ WAS,W
WAS vs. CHA,L
PHI @ TOR,L
TOR vs. PHI,W
MIN vs. CHI,L
CHI @ MIN,W
HOU @ DEN,L
DEN vs. HOU,W
IND @ MIL,W
MIL vs. IND,L
ATL vs. BOS,W
BOS @ ATL,L
POR vs. SAC,W
SAC @ POR,L
DET @ CLE,L
CLE vs. DET,W
BKN @ ORL,L
ORL vs. BKN,W
OKC @ LAC,W
LAC vs. OKC,L
MIN vs. SAS,W
SAS @ MIN,L
SAC vs. OKC,L
OKC @ SAC,W
DET @ ATL,W
ATL vs. DET,L
UTA vs. DAL,L
DAL @ UTA,W
MIA vs. BKN,L
BKN @ MIA,W
HOU @ LAL,W
LAL vs. HOU,L
DAL @ SAC,W
SAC vs. DAL,L
ATL @ IND,W
IND vs. ATL,L
MIA vs. NYK,W
NYK @ MIA,L
POR vs. NOP,W
NOP @ POR,L
HOU vs. DEN,W
DEN @ HOU,L
LAL @ LAC,L
LAC vs. LAL,W
OKC @ PHX,L
PHX vs. OKC,W
SAS vs. MEM,W
MEM @ SAS,L
GSW vs. UTA,W
UTA @ GSW,L
CHI @ WAS,W
WAS vs. CHI,L
MIL vs. TOR,L
TOR @ MIL,W
BOS @ DET,L
DET vs. BOS,W
CLE vs. CHA,L
CHA @ CLE,W
ORL vs. MIN,W
MIN @ ORL,L
PHI vs. BKN,L
BKN @ PHI,W
ORL @ CHA,L
CHA vs. ORL,W
MEM vs. DEN,W
DEN @ MEM,L
IND @ TOR,L
TOR vs. IND,W
CLE @ ATL,L
ATL vs. CLE,W
UTA vs. NOP,W
NOP @ UTA,L
POR vs. PHX,L
PHX @ POR,W
MIN @ MIA,W
MIA vs. MIN,L
HOU vs. OKC,W
OKC @ HOU,L
PHI @ BOS,W
BOS vs. PHI,L
DET @ BKN,L
BKN vs. DET,W
WAS @ NYK,W
NYK vs. WAS,L
MIL @ CHI,L
CHI vs. MIL,W
LAL vs. DAL,L
DAL @ LAL,W
SAC @ GSW,L
GSW vs. SAC,W
OKC vs. SAS,W
SAS @ OKC,L
LAC vs. DAL,L
DAL @ LAC,W
HOU @ TOR,L
TOR vs. HOU,W
BOS @ WAS,L
WAS vs. BOS,W
MIN vs. MEM,W
MEM @ MIN,L
NOP @ DEN,L
DEN vs. NOP,W
SAC vs. LAL,W
LAL @ SAC,L
CHI @ ATL,W
ATL vs. CHI,L
IND vs. DET,W
DET @ IND,L
MIA vs. MIL,W
MIL @ MIA,L
CLE @ ORL,W
ORL vs. CLE,L
PHX vs. LAC,L
LAC @ PHX,W
BKN @ NYK,L
NYK vs. BKN,W
GSW @ SAS,L
SAS vs. GSW,W
CHA @ PHI,W
PHI vs. CHA,L
DAL vs. GSW,L
GSW @ DAL,W
HOU @ BKN,L
BKN vs. HOU,W
POR @ LAL,W
LAL vs. POR,L
WAS @ CHA,L
CHA vs. WAS,W
SAC @ NOP,W
NOP vs. SAC,L
MIN vs. LAC,L
LAC @ MIN,W
MEM @ DEN,W
DEN vs. MEM,L
PHI @ ATL,L
ATL vs. PHI,W
IND vs. SAS,L
SAS @ IND,W
UTA vs. NYK,L
NYK @ UTA,W
TOR @ MIA,L
MIA vs. TOR,W
DET vs. MIL,W
MIL @ DET,L
BOS @ CHI,L
CHI vs. BOS,W
OKC vs. UTA,W
UTA @ OKC,L
POR vs. MEM,W
MEM @ POR,L
IND @ CLE,L
CLE vs. IND,W
ORL vs. TOR,L
TOR @ ORL,W
BOS vs. CHI,L
CHI @ BOS,W
BKN vs. MIN,W
MIN @ BKN,L
LAL vs. PHX,W
PHX @ LAL,L
GSW vs. NYK,L
NYK @ GSW,W
ATL @ WAS,L
WAS vs. ATL,W
MIL vs. MIA,L
MIA @ MIL,W
SAC @ DAL,L
DAL vs. SAC,W
HOU vs. LAC,L
LAC @ HOU,W
SAS vs. NOP,W
NOP @ SAS,L
DET @ PHI,L
PHI vs. DET,W
NOP vs. UTA,W
UTA @ NOP,L
SAC @ OKC,L
OKC vs. SAC,W
BOS @ TOR,L
TOR vs. BOS,W
WAS vs. IND,W
IND @ WAS,L
MIN vs. LAL,W
LAL @ MIN,L
DEN vs. SAS,L
SAS @ DEN,W
DET vs. MIA,L
MIA @ DET,W
CHA @ ORL,L
ORL vs. CHA,W
BKN vs. CLE,W
CLE @ BKN,L
NYK @ PHX,L
PHX vs. NYK,W
POR @ CHI,W
CHI vs. POR,L
GSW vs. MEM,W
MEM @ GSW,L
MIL vs. LAL,W
LAL @ MIL,L
LAC @ DAL,W
DAL vs. LAC,L
POR @ ATL,W
ATL vs. POR,L
HOU vs. PHI,W
PHI @ HOU,L
CHA vs. BKN,W
BKN @ CHA,L
NOP vs. LAC,W
LAC @ NOP,L
PHX @ WAS,W
WAS vs. PHX,L
ATL @ MIN,L
MIN vs. ATL,W
SAC vs. NYK,L
NYK @ SAC,W
IND vs. MIA,W
MIA @ IND,L
UTA vs. MEM,L
MEM @ UTA,W
DET vs. CLE,L
CLE @ DET,W
TOR @ BOS,W
BOS vs. TOR,L
DEN @ SAS,L
SAS vs. DEN,W
DAL vs. OKC,W
OKC @ DAL,L
CLE vs. TOR,W
TOR @ CLE,L
POR @ ORL,L
ORL vs. POR,W
LAL vs. NYK,W
NYK @ LAL,L
BKN @ NOP,L
NOP vs. BKN,W
CHA vs. HOU,L
HOU @ CHA,W
DEN @ OKC,L
OKC vs. DEN,W
MEM vs. MIN,W
MIN @ MEM,L
PHX @ ATL,W
ATL vs. PHX,L
UTA vs. DET,L
DET @ UTA,W
POR @ MIA,L
MIA vs. POR,W
MIL @ LAC,L
LAC vs. MIL,W
CHI vs. IND,W
IND @ CHI,L
SAS vs. PHI,W
PHI @ SAS,L
TOR vs. ATL,W
ATL @ TOR,L
MIN vs. PHX,L
PHX @ MIN,W
MIL @ SAC,L
SAC vs. MIL,W
DEN vs. WAS,W
WAS @ DEN,L
DAL vs. BKN,L
BKN @ DAL,W
NYK vs. CLE,L
CLE @ NYK,W
ORL @ LAL,L
LAL vs. ORL,W
NOP vs. MIA,W
MIA @ NOP,L
CHA vs. POR,W
POR @ CHA,L
IND @ MEM,L
MEM vs. IND,W
UTA vs. ORL,W
ORL @ UTA,L
CLE vs. HOU,L
HOU @ CLE,W
DET @ LAC,L
LAC vs. DET,W
CHI vs. PHI,W
PHI @ CHI,L
SAS @ GSW,W
GSW vs. SAS,L
OKC @ TOR,W
TOR vs. OKC,L
SAS @ SAC,W
SAC vs. SAS,L
DAL vs. DEN,W
DEN @ DAL,L
NOP @ ATL,W
ATL vs. NOP,L
IND vs. CHI,W
CHI @ IND,L
MIA vs. MEM,W
MEM @ MIA,L
BOS @ BKN,L
BKN vs. BOS,W
DET @ PHX,L
PHX vs. DET,W
LAL vs. WAS,L
WAS @ LAL,W
PHI vs. NYK,L
NYK @ PHI,W
POR vs. WAS,W
WAS @ POR,L
MIN @ HOU,L
HOU vs. MIN,W
OKC @ CLE,W
CLE vs. OKC,L
GSW vs. MIL,W
MIL @ GSW,L
NOP vs. TOR,L
TOR @ NOP,W
MEM vs. UTA,W
UTA @ MEM,L
DEN vs. DET,W
DET @ DEN,L
DAL vs. MIN,L
MIN @ DAL,W
MIA @ BOS,L
BOS vs. MIA,W
BKN vs. CHA,W
CHA @ BKN,L
ORL @ PHX,L
PHX vs. ORL,W
IND @ NYK,L
NYK vs. IND,W
SAS @ LAL,W
LAL vs. SAS,L
PHI vs. CHI,L
CHI @ PHI,W
SAC vs. WAS,W
WAS @ SAC,L
TOR @ ATL,L
ATL vs. TOR,W
MIL @ POR,L
POR vs. MIL,W
MIA @ CLE,W
CLE vs. MIA,L
GSW vs. ORL,W
ORL @ GSW,L
ATL @ CHA,W
CHA vs. ATL,L
DEN vs. LAC,W
LAC @ DEN,L
BOS @ DAL,L
DAL vs. BOS,W
PHI @ IND,L
IND vs. PHI,W
HOU vs. UTA,W
UTA @ HOU,L
BKN vs. PHX,W
PHX @ BKN,L
CHI vs. OKC,L
OKC @ CHI,W
NOP vs. BOS,W
BOS @ NOP,L
DAL @ OKC,W
OKC vs. DAL,L
PHX @ TOR,W
TOR vs. PHX,L
SAC @ MIN,L
MIN vs. SAC,W
CHA @ MIL,W
MIL vs. CHA,L
POR vs. GSW,L
GSW @ POR,W
MIA vs. HOU,W
HOU @ MIA,L
CLE @ LAC,L
LAC vs. CLE,W
SAS vs. UTA,W
UTA @ SAS,L
BKN @ WAS,L
WAS vs. BKN,W
DEN @ ATL,L
ATL vs. DEN,W
IND @ DET,W
DET vs. IND,L
NYK vs. MIL,W
MIL @ NYK,L
SAC @ CHI,L
CHI vs. SAC,W
MEM @ PHI,W
PHI vs. MEM,L
POR @ NOP,W
NOP vs. POR,L
MIN @ CHA,L
CHA vs. MIN,W
TOR vs. MEM,W
MEM @ TOR,L
LAC @ UTA,W
UTA vs. LAC,L
DEN @ MIA,W
MIA vs. DEN,L
ORL vs. WAS,L
WAS @ ORL,W
BOS vs. PHX,L
PHX @ BOS,W
SAS vs. LAL,W
LAL @ SAS,L
CLE @ GSW,W
GSW vs. CLE,L
PHI vs. IND,L
IND @ PHI,W
OKC vs. LAL,W
LAL @ OKC,L
MIL @ ATL,L
ATL vs. MIL,W
CHI vs. HOU,W
HOU @ CHI,L
MEM @ NOP,W
NOP vs. MEM,L
DET @ TOR,L
TOR vs. DET,W
WAS vs. CHA,L
CHA @ WAS,W
DAL @ UTA,W
UTA vs. DAL,L
MIA vs. BKN,L
BKN @ MIA,W
ORL vs. DEN,L
DEN @ ORL,W
GSW @ LAC,L
LAC vs. GSW,W
NYK @ BOS,W
BOS vs. NYK,L
CLE @ PHX,W
PHX vs. CLE,L
SAS vs. POR,W
POR @ SAS,L
PHI vs. SAC,L
SAC @ PHI,W
HOU @ OKC,L
OKC vs. HOU,W
POR @ MEM,L
MEM vs. POR,W
MIL @ MIN,L
MIN vs. MIL,W
BOS @ IND,L
IND vs. BOS,W
SAC @ DET,L
DET vs. SAC,W
CHI vs. SAS,L
SAS @ CHI,W
GSW vs. DAL,W
DAL @ GSW,L
DEN @ CHA,L
CHA vs. DEN,W
ORL @ MIL,L
MIL vs. ORL,W
ATL @ UTA,W
UTA vs. ATL,L
WAS @ MIA,L
MIA vs. WAS,W
PHX @ LAC,L
LAC vs. PHX,W
BKN vs. TOR,W
TOR @ BKN,L
NYK vs. PHI,W
PHI @ NYK,L
DEN @ NOP,L
NOP vs. DEN,W
MIN vs. TOR,L
TOR @ MIN,W
IND @ DAL,L
DAL vs. IND,W
HOU vs. POR,W
POR @ HOU,L
BOS vs. DET,W
DET @ BOS,L
BKN vs. SAC,W
SAC @ BKN,L
MIA @ CHI,L
CHI vs. MIA,W
LAL vs. OKC,W
OKC @ LAL,L
PHX @ GSW,L
GSW vs. PHX,W
CHA @ MEM,L
MEM vs. CHA,W
MIL vs. WAS,L
WAS @ MIL,W
CLE vs. NYK,L
NYK @ CLE,W
ATL @ LAC,L
LAC vs. ATL,W
SAS vs. ORL,W
ORL @ SAS,L
UTA @ PHI,W
PHI vs. UTA,L
NOP vs. MIL,W
MIL @ NOP,L
CHA vs. CLE,W
CLE @ CHA,L
SAC @ TOR,L
TOR vs. SAC,W
MIN vs. DET,W
DET @ MIN,L
LAL @ DEN,L
DEN vs. LAL,W
DAL vs. POR,W
POR @ DAL,L
HOU vs. IND,W
