MATCH UP,W/L
DAL @ MEM,W
MEM vs. DAL,L
DEN @ OKC,W
OKC vs. DEN,L
ATL @ IND,L
IND vs. ATL,W
UTA vs. SAS,W
SAS @ UTA,L
POR vs. NOP,L
NOP @ POR,W
MIA vs. WAS,W
WAS @ MIA,L
MIN @ HOU,L
HOU vs. MIN,W
CLE vs. TOR,L
TOR @ CLE,W
DET @ ORL,L
ORL vs. DET,W
SAC @ LAC,L
LAC vs. SAC,W
BOS vs. MIL,W
MIL @ BOS,L
NYK vs. PHI,W
PHI @ NYK,L
BKN @ CHI,L
CHI vs. BKN,W
LAL @ GSW,L
GSW vs. LAL,W
MIN vs. OKC,L
OKC @ MIN,W
SAC vs. PHX,W
PHX @ SAC,L
DEN @ DAL,W
DAL vs. DEN,L
CHA @ ATL,L
ATL vs. CHA,W
LAL vs. NOP,W
NOP @ LAL,L
CHA @ MIL,L
MIL vs. CHA,W
SAS @ POR,L
POR vs. SAS,W
CLE @ MIA,L
MIA vs. CLE,W
WAS @ DET,W
DET vs. WAS,L
HOU @ LAC,L
LAC vs. HOU,W
BOS vs. BKN,W
BKN @ BOS,L
ORL @ CHI,L
CHI vs. ORL,W
UTA @ GSW,W
GSW vs. UTA,L
IND @ PHI,W
PHI vs. IND,L
DET @ MEM,W
MEM vs. DET,L
DEN vs. OKC,L
OKC @ DEN,W
SAC vs. HOU,L
HOU @ SAC,W
ATL vs. CLE,W
CLE @ ATL,L
PHX vs. DAL,W
DAL @ PHX,L
TOR @ NYK,W
NYK vs. TOR,L
LAL vs. MIN,W
MIN @ LAL,L
WAS vs. MIA,L
MIA @ WAS,W
CHA vs. BOS,L
BOS @ CHA,W
POR vs. UTA,W
UTA @ POR,L
ORL vs. IND,L
IND @ ORL,W
BKN vs. CHI,W
CHI @ BKN,L
SAS vs. LAC,L
LAC @ SAS,W
GSW vs. NOP,W
NOP @ GSW,L
PHI vs. MIL,L
MIL @ PHI,W
NYK @ MEM,L
MEM vs. NYK,W
MIA @ TOR,L
TOR vs. MIA,W
DEN vs. NOP,W
NOP @ DEN,L
DAL vs. SAS,L
SAS @ DAL,W
MIN @ UTA,L
UTA vs. MIN,W
HOU vs. DET,L
DET @ HOU,W
ATL @ CLE,W
CLE vs. ATL,L
OKC @ PHX,L
PHX vs. OKC,W
LAL vs. SAC,W
SAC @ LAL,L
BOS @ ATL,L
ATL vs. BOS,W
IND vs. MIL,W
MIL @ IND,L
POR vs. MIN,W
MIN @ POR,L
ORL vs. BKN,W
BKN @ ORL,L
NYK vs. WAS,L
WAS @ NYK,W
PHI vs. CHI,L
CHI @ PHI,W
MEM vs. OKC,L
OKC @ MEM,W
CHA vs. MIA,L
MIA @ CHA,W
DET vs. TOR,L
TOR @ DET,W
HOU vs. DEN,W
DEN @ HOU,L
DAL @ LAC,L
LAC vs. DAL,W
CLE @ BOS,W
BOS vs. CLE,L
PHX vs. GSW,L
GSW @ PHX,W
LAL @ SAS,W
SAS vs. LAL,L
DEN @ NOP,W
NOP vs. DEN,L
MIL @ OKC,L
OKC vs. MIL,W
WAS vs. CHA,W
CHA @ WAS,L
SAC vs. DAL,W
DAL @ SAC,L
TOR @ IND,L
IND vs. TOR,W
POR @ UTA,L
UTA vs. POR,W
CLE vs. ORL,W
ORL @ CLE,L
NYK vs. CHI,W
CHI @ NYK,L
SAS vs. MEM,W
MEM @ SAS,L
GSW vs. MIN,W
MIN @ GSW,L
PHI vs. BKN,L
BKN @ PHI,W
POR @ MIN,L
MIN vs. POR,W
NOP vs. CHI,L
CHI @ NOP,W
CHA @ OKC,W
OKC vs. CHA,L
TOR vs. PHI,W
PHI @ TOR,L
DAL @ MIL,W
MIL vs. DAL,L
MIA vs. DEN,L
DEN @ MIA,W
CLE vs. IND,W
IND @ CLE,L
BKN vs. ATL,W
ATL @ BKN,L
PHX vs. HOU,L
HOU @ PHX,W
BOS @ NYK,W
NYK vs. BOS,L
LAL vs. MEM,W
MEM @ LAL,L
SAS vs. UTA,W
UTA @ SAS,L
WAS @ GSW,L
GSW vs. WAS,W
SAC @ MIN,W
MIN vs. SAC,L
POR vs. PHX,W
PHX @ POR,L
LAL @ LAC,L
LAC vs. LAL,W
ORL @ BKN,L
BKN vs. ORL,W
ATL @ CHI,L
CHI vs. ATL,W
SAC @ NOP,L
NOP vs. SAC,W
OKC vs. SAS,L
SAS @ OKC,W
MEM vs. DAL,W
DAL @ MEM,L
TOR vs. IND,W
IND @ TOR,L
DEN @ CHA,L
CHA vs. DEN,W
DET @ MIL,L
MIL vs. DET,W
WAS @ UTA,L
UTA vs. WAS,W
MIA vs. NYK,L
NYK @ MIA,W
CLE vs. PHI,W
PHI @ CLE,L
ORL @ BOS,L
BOS vs. ORL,W
GSW vs. HOU,W
HOU @ GSW,L
LAL @ MIN,L
MIN vs. LAL,W
POR vs. HOU,W
HOU @ POR,L
BKN @ DET,L
DET vs. BKN,W
PHX vs. LAC,L
LAC @ PHX,W
CHI vs. CLE,W
CLE @ CHI,L
NOP vs. DAL,W
DAL @ NOP,L
MEM vs. IND,W
IND @ MEM,L
TOR vs. CHA,L
CHA @ TOR,W
UTA @ SAC,W
SAC vs. UTA,L
OKC @ ORL,W
ORL vs. OKC,L
WAS @ LAC,L
LAC vs. WAS,W
BOS vs. MIL,L
MIL @ BOS,W
MIA @ NYK,W
NYK vs. MIA,L
SAS vs. GSW,L
GSW @ SAS,W
ATL @ PHI,W
PHI vs. ATL,L
MIL @ CHA,W
CHA vs. MIL,L
PHX @ ATL,L
ATL vs. PHX,W
MIN @ IND,W
IND vs. MIN,L
POR vs. DEN,W
DEN @ POR,L
MIA @ DET,W
DET vs. MIA,L
GSW @ HOU,W
HOU vs. GSW,L
BKN vs. PHI,L
PHI @ BKN,W
LAL vs. WAS,L
WAS @ LAL,W
ORL @ TOR,L
TOR vs. ORL,W
MEM @ SAC,L
SAC vs. MEM,W
OKC @ DAL,W
DAL vs. OKC,L
NOP @ UTA,L
UTA vs. NOP,W
DET @ NYK,L
NYK vs. DET,W
SAS vs. CLE,W
