MATCH UP,W/L
ATL @ WAS,L
WAS vs. ATL,W
ORL @ CHA,L
CHA vs. ORL,W
MIN vs. NOP,W
NOP @ MIN,L
DAL vs. SAS,L
SAS @ DAL,W
IND @ MIL,W
MIL vs. IND,L
POR vs. DEN,W
DEN @ POR,L
HOU vs. SAC,W
SAC @ HOU,L
DET @ CLE,W
CLE vs. DET,L
MIA @ BOS,L
BOS vs. MIA,W
TOR @ BKN,W
BKN vs. TOR,L
PHX vs. LAC,W
LAC @ PHX,L
CHI vs. PHI,W
PHI @ CHI,L
UTA @ LAL,L
LAL vs. UTA,W
GSW vs. MEM,W
MEM @ GSW,L
PHI @ TOR,L
TOR vs. PHI,W
NYK @ IND,L
IND vs. NYK,W
DET vs. MIA,L
MIA @ DET,W
LAC vs. MEM,W
MEM @ LAC,L
OKC @ SAS,L
SAS vs. OKC,W
NOP vs. CHI,L
CHI @ NOP,W
OKC vs. LAL,W
LAL @ OKC,L
HOU @ MIN,W
MIN vs. HOU,L
DAL @ UTA,W
UTA vs. DAL,L
ATL @ CLE,L
CLE vs. ATL,W
ORL vs. MIL,W
MIL @ ORL,L
CHA @ BOS,W
BOS vs. CHA,L
BKN vs. WAS,L
WAS @ BKN,W
SAC @ PHX,W
PHX vs. SAC,L
CHA @ WAS,L
WAS vs. CHA,W
UTA @ DEN,W
DEN vs. UTA,L
IND vs. BKN,W
BKN @ IND,L
ORL @ MIA,L
MIA vs. ORL,W
HOU vs. LAL,W
LAL @ HOU,L
LAC vs. DAL,W
DAL @ LAC,L
NYK vs. TOR,L
TOR @ NYK,W
SAS vs. GSW,L
GSW @ SAS,W
MIL @ PHI,W
PHI vs. MIL,L
PHX @ NOP,W
NOP vs. PHX,L
MEM vs. GSW,L
GSW @ MEM,W
SAC vs. OKC,W
OKC @ SAC,L
BOS @ ATL,L
ATL vs. BOS,W
MIN @ POR,W
POR vs. MIN,L
CLE @ CHI,L
CHI vs. CLE,W
LAL @ NOP,L
NOP vs. LAL,W
IND @ TOR,L
TOR vs. IND,W
BKN @ CHA,L
CHA vs. BKN,W
SAS @ DEN,L
DEN vs. SAS,W
DAL vs. MEM,W
MEM @ DAL,L
LAC @ UTA,W
UTA vs. LAC,L
WAS @ DET,L
DET vs. WAS,W
ORL vs. MIA,W
MIA @ ORL,L
BOS vs. MIL,W
MIL @ BOS,L
NYK @ PHI,W
PHI vs. NYK,L
SAC vs. MIN,L
MIN @ SAC,W
ATL vs. TOR,W
TOR @ ATL,L
MIA vs. CHI,W
CHI @ MIA,L
PHX @ HOU,W
HOU vs. PHX,L
SAS @ GSW,L
GSW vs. SAS,W
BKN @ WAS,L
WAS vs. BKN,W
HOU @ DAL,L
DAL vs. HOU,W
CLE @ IND,L
IND vs. CLE,W
POR vs. OKC,W
OKC @ POR,L
DET @ ORL,W
ORL vs. DET,L
BOS vs. NOP,W
NOP @ BOS,L
CHA @ NYK,W
NYK vs. CHA,L
LAL vs. LAC,L
LAC @ LAL,W
MEM vs. CHI,W
CHI @ MEM,L
CHA @ TOR,L
TOR vs. CHA,W
OKC @ DEN,W
DEN vs. OKC,L
POR @ SAC,W
SAC vs. POR,L
CLE @ MIL,W
MIL vs. CLE,L
ATL vs. PHX,W
PHX @ ATL,L
SAS @ UTA,W
UTA vs. SAS,L
MIA vs. DET,W
DET @ MIA,L
LAL @ LAC,L
LAC vs. LAL,W
GSW vs. MIN,L
MIN @ GSW,W
NOP @ PHI,L
PHI vs. NOP,W
MIN vs. DAL,L
DAL @ MIN,W
CHI @ MIL,W
MIL vs. CHI,L
OKC @ HOU,L
HOU vs. OKC,W
CLE vs. CHA,W
CHA @ CLE,L
MEM @ ORL,L
ORL vs. MEM,W
LAC vs. WAS,W
WAS @ LAC,L
BKN vs. NOP,L
NOP @ BKN,W
UTA @ PHX,W
PHX vs. UTA,L
NYK vs. IND,L
IND @ NYK,W
BOS @ LAL,W
LAL vs. BOS,L
POR @ GSW,L
GSW vs. POR,W
SAC @ DEN,W
DEN vs. SAC,L
MIA @ POR,L
POR vs. MIA,W
CHI vs. DET,L
DET @ CHI,W
TOR @ SAS,L
SAS vs. TOR,W
PHI vs. IND,L
IND @ PHI,W
TOR @ MEM,W
MEM vs. TOR,L
PHI @ CHA,L
CHA vs. PHI,W
MIA @ SAC,W
SAC vs. MIA,L
ORL @ MIL,L
MIL vs. ORL,W
CLE @ ATL,W
ATL vs. CLE,L
UTA vs. MIN,W
MIN @ UTA,L
DET vs. DAL,L
DAL @ DET,W
WAS @ PHX,W
PHX vs. WAS,L
NYK vs. BKN,W
BKN @ NYK,L
BOS @ GSW,W
GSW vs. BOS,L
DEN @ NOP,L
NOP vs. DEN,W
LAC @ OKC,L
OKC vs. LAC,W
ORL @ IND,W
IND vs. ORL,L
POR vs. BOS,W
BOS @ POR,L
CHI @ HOU,W
HOU vs. CHI,L
CLE vs. BKN,W
BKN @ CLE,L
MEM vs. DEN,L
DEN @ MEM,W
TOR vs. ATL,W
ATL @ TOR,L
MIN vs. LAC,L
LAC @ MIN,W
WAS @ SAC,L
SAC vs. WAS,W
PHX @ MIL,L
MIL vs. PHX,W
DAL vs. NYK,W
NYK @ DAL,L
UTA vs. GSW,L
GSW @ UTA,W
LAL vs. MIA,W
MIA @ LAL,L
NOP @ SAS,L
SAS vs. NOP,W
IND vs. CHI,L
CHI @ IND,W
OKC @ DET,L
DET vs. OKC,W
HOU @ CLE,W
CLE vs. HOU,L
ORL vs. BKN,W
BKN @ ORL,L
GSW vs. WAS,W
WAS @ GSW,L
CHA @ PHI,W
PHI vs. CHA,L
NYK @ NOP,L
NOP vs. NYK,W
SAS @ MEM,W
MEM vs. SAS,L
TOR vs. OKC,L
OKC @ TOR,W
PHX @ MIN,L
MIN vs. PHX,W
DEN vs. DAL,L
DAL @ DEN,W
UTA vs. LAL,W
LAL @ UTA,L
POR vs. SAC,W
SAC @ POR,L
BKN @ MIA,L
MIA vs. BKN,W
LAC vs. BOS,W
BOS @ LAC,L
ATL @ CHI,W
CHI vs. ATL,L
DAL @ SAC,L
SAC vs. DAL,W
IND vs. HOU,W
HOU @ IND,L
LAC vs. DEN,W
DEN @ LAC,L
WAS @ LAL,W
LAL vs. WAS,L
PHI @ GSW,L
GSW vs. PHI,W
NOP vs. TOR,L
TOR @ NOP,W
OKC vs. SAS,W
SAS @ OKC,L
UTA @ MIN,W
MIN vs. UTA,L
CHA @ MIL,W
MIL vs. CHA,L
POR vs. PHI,W
PHI @ POR,L
DET vs. ATL,L
ATL @ DET,W
ORL vs. CHI,W
CHI @ ORL,L
BKN vs. IND,W
IND @ BKN,L
PHX vs. BOS,L
BOS @ PHX,W
NYK vs. CLE,L
CLE @ NYK,W
WAS vs. MIN,L
MIN @ WAS,W
SAC vs. PHX,W
PHX @ SAC,L
ATL vs. MIL,W
MIL @ ATL,L
ORL @ MIA,L
MIA vs. ORL,W
HOU vs. TOR,W
TOR @ HOU,L
DET vs. CHA,W
CHA @ DET,L
DEN @ LAL,W
LAL vs. DEN,L
SAS vs. MEM,W
MEM @ SAS,L
GSW vs. DAL,W
DAL @ GSW,L
UTA @ OKC,L
OKC vs. UTA,W
IND vs. NOP,W
NOP @ IND,L
POR @ LAC,L
LAC vs. POR,W
BKN vs. CLE,W
CLE @ BKN,L
NYK vs. CHI,W
CHI @ NYK,L
WAS vs. ATL,L
ATL @ WAS,W
MIN vs. SAC,W
SAC @ MIN,L
PHI @ DEN,L
DEN vs. PHI,W
POR vs. DAL,W
DAL @ POR,L
UTA @ HOU,W
HOU vs. UTA,L
ORL @ DET,L
DET vs. ORL,W
MIL @ CLE,L
CLE vs. MIL,W
BOS vs. TOR,W
TOR @ BOS,L
PHX vs. LAL,W
LAL @ PHX,L
CHI vs. NYK,L
NYK @ CHI,W
MIA @ SAS,L
SAS vs. MIA,W
LAC @ GSW,L
GSW vs. LAC,W
MIA @ NOP,W
NOP vs. MIA,L
HOU @ OKC,L
OKC vs. HOU,W
CHA @ BKN,W
BKN vs. CHA,L
MEM @ LAL,L
LAL vs. MEM,W
CHA vs. SAS,W
SAS @ CHA,L
GSW @ MIN,W
MIN vs. GSW,L
ATL vs. WAS,L
WAS @ ATL,W
IND vs. PHI,W
PHI @ IND,L
DET vs. MIL,W
MIL @ DET,L
DEN @ CLE,L
CLE vs. DEN,W
BOS vs. ORL,W
ORL @ BOS,L
MEM @ PHX,W
PHX vs. MEM,L
SAC @ CHI,L
CHI vs. SAC,W
