MATCH UP,W/L
NOH vs. HOU,W
HOU @ NOH,L
PHX @ MIN,W
MIN vs. PHX,L
DAL vs. DEN,L
DEN @ DAL,W
IND vs. WAS,W
WAS @ IND,L
MIL @ MIA,W
MIA vs. MIL,L
NJN @ DET,L
DET vs. NJN,W
SAS vs. SAC,W
SAC @ SAS,L
GSW vs. LAL,W
LAL @ GSW,L
NYK @ PHI,W
PHI vs. NYK,L
LAC @ MEM,W
MEM vs. LAC,L
WAS vs. DET,W
DET @ WAS,L
DEN vs. OKC,L
OKC @ DEN,W
ATL vs. SAS,L
SAS @ ATL,W
POR vs. GSW,L
GSW @ POR,W
SAC @ HOU,W
HOU vs. SAC,L
CLE vs. CHA,W
CHA @ CLE,L
MIL @ ORL,L
ORL vs. MIL,W
PHI @ BOS,L
BOS vs. PHI,W
NJN vs. MIN,W
MIN @ NJN,L
TOR @ NYK,L
NYK vs. TOR,W
PHX @ CHI,L
CHI vs. PHX,W
UTA @ LAL,W
LAL vs. UTA,L
SAC vs. UTA,W
UTA @ SAC,L
SAS vs. PHX,W
PHX @ SAS,L
TOR vs. ORL,W
ORL @ TOR,L
CHA vs. WAS,L
WAS @ CHA,W
IND @ NOH,L
NOH vs. IND,W
DAL @ POR,L
POR vs. DAL,W
HOU vs. ATL,W
ATL @ HOU,L
MIA @ NJN,W
NJN vs. MIA,L
DET @ BOS,L
BOS vs. DET,W
NYK vs. CLE,W
CLE @ NYK,L
DEN @ LAL,W
LAL vs. DEN,L
MIN @ MEM,L
MEM vs. MIN,W
MIL vs. PHI,W
PHI @ MIL,L
LAC vs. OKC,W
OKC @ LAC,L
TOR @ CHI,L
CHI vs. TOR,W
DAL @ GSW,L
GSW vs. DAL,W
MEM @ NOH,W
NOH vs. MEM,L
CLE @ WAS,L
WAS vs. CLE,W
MIN vs. MIA,L
MIA @ MIN,W
SAC vs. DEN,L
DEN @ SAC,W
ATL vs. BOS,W
BOS @ ATL,L
MIL @ IND,L
IND vs. MIL,W
LAL @ UTA,W
UTA vs. LAL,L
POR vs. OKC,W
OKC @ POR,L
DET vs. CHI,L
CHI @ DET,W
HOU vs. SAS,W
SAS @ HOU,L
CHA @ ORL,L
ORL vs. CHA,W
PHX vs. LAC,W
LAC @ PHX,L
NJN @ PHI,L
PHI vs. NJN,W
LAL vs. DAL,W
DAL @ LAL,L
SAS vs. BOS,L
BOS @ SAS,W
CHA vs. CLE,W
CLE @ CHA,L
MEM vs. GSW,W
GSW @ MEM,L
TOR vs. MIL,L
MIL @ TOR,W
MIA @ WAS,W
WAS vs. MIA,L
POR @ NOH,L
NOH vs. POR,W
CHI @ MIN,W
MIN vs. CHI,L
SAC @ DEN,L
DEN vs. SAC,W
ORL @ ATL,L
ATL vs. ORL,W
DET @ IND,L
IND vs. DET,W
LAC vs. DAL,L
DAL @ LAC,W
PHX vs. OKC,L
OKC @ PHX,W
NJN @ NYK,L
NYK vs. NJN,W
HOU @ PHI,L
PHI vs. HOU,W
OKC vs. GSW,W
GSW @ OKC,L
SAC vs. PHX,W
PHX @ SAC,L
MIA @ CLE,L
CLE vs. MIA,W
HOU @ NJN,W
NJN vs. HOU,L
MIL @ CHA,L
CHA vs. MIL,W
BOS @ IND,L
IND vs. BOS,W
UTA vs. WAS,L
WAS @ UTA,W
NYK vs. ORL,W
ORL @ NYK,L
PHI @ CHI,W
CHI vs. PHI,L
POR @ SAS,W
SAS vs. POR,L
POR @ OKC,L
OKC vs. POR,W
SAS @ MEM,L
MEM vs. SAS,W
MIN vs. BOS,L
BOS @ MIN,W
MIA vs. HOU,W
HOU @ MIA,L
CLE vs. ATL,L
ATL @ CLE,W
DAL @ PHX,W
PHX vs. DAL,L
LAL vs. NOH,W
NOH @ LAL,L
GSW vs. WAS,W
WAS @ GSW,L
PHI vs. SAC,L
SAC @ PHI,W
CHA vs. NYK,W
NYK @ CHA,L
MIL vs. CHI,L
CHI @ MIL,W
NJN @ ATL,L
ATL vs. NJN,W
UTA vs. DAL,L
DAL @ UTA,W
IND @ DET,L
DET vs. IND,W
TOR @ LAC,L
LAC vs. TOR,W
OKC vs. MIN,W
MIN @ OKC,L
WAS @ DEN,L
DEN vs. WAS,W
SAC @ IND,W
IND vs. SAC,L
SAS @ POR,L
POR vs. SAS,W
MIA vs. PHI,W
PHI @ MIA,L
CLE vs. DET,W
DET @ CLE,L
ORL vs. NJN,W
NJN @ ORL,L
BOS vs. CHA,L
CHA @ BOS,W
NOH @ PHX,W
PHX vs. NOH,L
MIL @ NYK,W
NYK vs. MIL,L
CHI vs. MEM,W
MEM @ CHI,L
LAL vs. LAC,W
LAC @ LAL,L
TOR @ GSW,L
GSW vs. TOR,W
MIN @ DAL,L
DAL vs. MIN,W
UTA vs. NOH,L
NOH @ UTA,W
CHA vs. IND,L
IND @ CHA,W
OKC vs. UTA,W
UTA @ OKC,L
DEN vs. SAS,W
SAS @ DEN,L
MIL vs. SAC,L
SAC @ MIL,W
GSW @ HOU,L
HOU vs. GSW,W
MIA @ DET,W
DET vs. MIA,L
NJN @ CLE,W
CLE vs. NJN,L
LAC vs. WAS,W
WAS @ LAC,L
MEM @ BOS,W
BOS vs. MEM,L
TOR @ PHX,L
PHX vs. TOR,W
NYK vs. ORL,L
ORL @ NYK,W
ATL @ PHI,L
PHI vs. ATL,W
CHI @ ATL,W
ATL vs. CHI,L
POR vs. WAS,W
WAS @ POR,L
PHX @ LAL,L
LAL vs. PHX,W
UTA @ MEM,L
MEM vs. UTA,W
TOR @ DEN,L
DEN vs. TOR,W
CLE vs. ORL,L
ORL @ CLE,W
NJN vs. IND,L
IND @ NJN,W
NYK vs. BOS,L
BOS @ NYK,W
SAC @ CHI,L
CHI vs. SAC,W
GSW @ SAS,L
SAS vs. GSW,W
TOR @ OKC,W
OKC vs. TOR,L
NJN @ WAS,L
WAS vs. NJN,W
MIN vs. SAC,L
SAC @ MIN,W
MIL vs. NYK,W
NYK @ MIL,L
DAL vs. GSW,W
GSW @ DAL,L
ATL vs. DET,W
DET @ ATL,L
UTA @ HOU,L
HOU vs. UTA,W
PHX @ LAC,W
LAC vs. PHX,L
LAL vs. POR,W
POR @ LAL,L
IND @ MEM,L
MEM vs. IND,W
BOS @ NOH,W
NOH vs. BOS,L
PHI @ POR,L
POR vs. PHI,W
DEN @ MIA,L
MIA vs. DEN,W
CLE @ LAC,L
LAC vs. CLE,W
SAS vs. CHA,W
CHA @ SAS,L
CHA @ OKC,L
OKC vs. CHA,W
WAS @ TOR,L
TOR vs. WAS,W
SAC vs. PHI,L
PHI @ SAC,W
MIL vs. NJN,W
NJN @ MIL,L
SAS @ DAL,W
DAL vs. SAS,L
ATL vs. MIA,L
MIA @ ATL,W
CHI @ IND,L
IND vs. CHI,W
DET vs. NYK,W
NYK @ DET,L
HOU vs. BOS,W
BOS @ HOU,L
ORL vs. DEN,W
DEN @ ORL,L
GSW @ PHX,L
PHX vs. GSW,W
LAL vs. MIN,W
MIN @ LAL,L
CLE @ POR,L
POR vs. CLE,W
CHI @ NJN,W
NJN vs. CHI,L
MEM @ NYK,L
NYK vs. MEM,W
NOH vs. PHX,W
PHX @ NOH,L
CLE @ SAC,W
SAC vs. CLE,L
ORL @ MIL,W
MIL vs. ORL,L
DEN @ ATL,W
ATL vs. DEN,L
UTA vs. MIN,W
MIN @ UTA,L
DET vs. TOR,W
TOR @ DET,L
OKC @ MIA,W
MIA vs. OKC,L
CHA @ HOU,L
HOU vs. CHA,W
LAC vs. PHI,L
PHI @ LAC,W
BOS vs. IND,W
IND @ BOS,L
GSW vs. DAL,L
DAL @ GSW,W
MIL @ ATL,L
ATL vs. MIL,W
NYK @ IND,L
IND vs. NYK,W
POR vs. DAL,W
DAL @ POR,L
CHI vs. WAS,W
WAS @ CHI,L
MEM vs. LAC,W
LAC @ MEM,L
WAS vs. OKC,L
OKC @ WAS,W
DEN @ NOH,W
NOH vs. DEN,L
SAC vs. GSW,W
GSW @ SAC,L
PHI @ UTA,L
UTA vs. PHI,W
SAS @ MIA,L
MIA vs. SAS,W
HOU vs. PHX,W
PHX @ HOU,L
BOS @ NJN,L
NJN vs. BOS,W
LAL vs. ORL,W
ORL @ LAL,L
CHA @ TOR,W
TOR vs. CHA,L
CLE vs. OKC,L
OKC @ CLE,W
MIL @ BOS,L
BOS vs. MIL,W
PHX vs. ORL,L
ORL @ PHX,W
IND @ NYK,W
NYK vs. IND,L
MIN @ GSW,L
GSW vs. MIN,W
LAC @ WAS,W
WAS vs. LAC,L
SAC @ NOH,L
NOH vs. SAC,W
DET @ DEN,L
DEN vs. DET,W
LAL @ DAL,W
DAL vs. LAL,L
MIL vs. PHI,W
PHI @ MIL,L
POR @ ATL,L
ATL vs. POR,W
MEM @ MIA,L
MIA vs. MEM,W
HOU vs. SAS,L
SAS @ HOU,W
UTA @ CHI,L
CHI vs. UTA,W
POR @ CHA,L
CHA vs. POR,W
OKC vs. DET,W
DET @ OKC,L
IND @ TOR,L
TOR vs. IND,W
MIN vs. UTA,W
UTA @ MIN,L
NJN vs. LAC,W
LAC @ NJN,L
CHI vs. ATL,W
ATL @ CHI,L
SAS vs. SAC,W
SAC @ SAS,L
ORL @ GSW,L
GSW vs. ORL,W
BOS @ PHI,L
PHI vs. BOS,W
DAL vs. NYK,W
NYK @ DAL,L
MIA vs. LAL,W
LAL @ MIA,L
DEN @ PHX,W
PHX vs. DEN,L
CHI @ CHA,W
CHA vs. CHI,L
MEM vs. NYK,L
NYK @ MEM,W
TOR vs. UTA,L
UTA @ TOR,W
DAL @ NOH,L
NOH vs. DAL,W
MIN vs. IND,W
IND @ MIN,L
CLE @ MIL,L
MIL vs. CLE,W
SAC vs. ORL,L
ORL @ SAC,W
BOS vs. LAC,L
LAC @ BOS,W
GSW @ NJN,L
NJN vs. GSW,W
DET @ SAS,L
SAS vs. DET,W
OKC @ PHI,W
PHI vs. OKC,L
WAS vs. MIL,L
MIL @ WAS,W
LAL @ ATL,W
ATL vs. LAL,L
PHI @ IND,W
IND vs. PHI,L
MIA vs. POR,L
POR @ MIA,W
CLE vs. GSW,L
GSW @ CLE,W
PHX vs. HOU,W
HOU @ PHX,L
LAC @ CHA,W
CHA vs. LAC,L
MEM vs. OKC,W
OKC @ MEM,L
MIN vs. DAL,L
DAL @ MIN,W
HOU @ SAC,W
SAC vs. HOU,L
ORL vs. POR,L
POR @ ORL,W
NYK vs. UTA,W
UTA @ NYK,L
NOH @ CHI,L
CHI vs. NOH,W
PHX @ OKC,L
OKC vs. PHX,W
BOS @ MIL,W
MIL vs. BOS,L
MEM @ DAL,W
DAL vs. MEM,L
NYK @ ATL,W
ATL vs. NYK,L
DET vs. WAS,W
WAS @ DET,L
CHI @ MIA,W
MIA vs. CHI,L
NOH @ CLE,W
CLE vs. NOH,L
SAS vs. LAL,L
LAL @ SAS,W
PHI vs. GSW,W
GSW @ PHI,L
MIN @ WAS,L
WAS vs. MIN,W
UTA vs. SAC,W
SAC @ UTA,L
POR vs. CHA,W
CHA @ POR,L
IND @ HOU,L
HOU vs. IND,W
LAC vs. DEN,W
DEN @ LAC,L
TOR @ NJN,L
NJN vs. TOR,W
MEM vs. NOH,L
NOH @ MEM,W
PHX @ MIL,W
MIL vs. PHX,L
ATL vs. OKC,L
OKC @ ATL,W
DAL vs. IND,W
IND @ DAL,L
CHI @ ORL,W
ORL vs. CHI,L
GSW @ BOS,L
BOS vs. GSW,W
TOR @ NJN,L
NJN vs. TOR,W
NYK vs. CLE,L
CLE @ NYK,W
CHA @ LAL,L
LAL vs. CHA,W
MIA @ SAS,L
SAS vs. MIA,W
MIN @ PHI,L
PHI vs. MIN,W
DEN @ UTA,W
UTA vs. DEN,L
MIA vs. ORL,L
ORL @ MIA,W
OKC vs. IND,W
IND @ OKC,L
GSW @ WAS,W
WAS vs. GSW,L
DEN vs. CHA,W
CHA @ DEN,L
POR @ SAC,W
SAC vs. POR,L
ATL vs. CHI,W
CHI @ ATL,L
MIN @ DET,W
DET vs. MIN,L
CLE vs. SAS,L
SAS @ CLE,W
LAC vs. HOU,W
HOU @ LAC,L
PHX @ BOS,L
BOS vs. PHX,W
NYK vs. NOH,W
NOH @ NYK,L
SAS @ MEM,L
MEM vs. SAS,W
NOH @ TOR,L
TOR vs. NOH,W
LAL @ MIN,W
MIN vs. LAL,L
DET @ MIL,L
MIL vs. DET,W
IND vs. GSW,W
GSW @ IND,L
HOU @ POR,W
POR vs. HOU,L
ORL vs. NYK,W
NYK @ ORL,L
PHI vs. DAL,L
DAL @ PHI,W
CHI @ WAS,W
WAS vs. CHI,L
DEN vs. ATL,W
ATL @ DEN,L
LAC @ SAC,L
SAC vs. LAC,W
BOS @ UTA,W
UTA vs. BOS,L
PHX @ NJN,W
NJN vs. PHX,L
OKC vs. LAL,L
LAL @ OKC,W
DAL @ TOR,W
TOR vs. DAL,L
HOU @ NOH,W
NOH vs. HOU,L
GSW @ MIN,L
MIN vs. GSW,W
IND vs. PHX,L
PHX @ IND,W
ATL @ POR,W
POR vs. ATL,L
NYK @ MIA,W
MIA vs. NYK,L
PHI @ CLE,W
CLE vs. PHI,L
ORL vs. CHA,W
CHA @ ORL,L
MEM @ SAS,L
SAS vs. MEM,W
MEM vs. SAC,W
SAC @ MEM,L
WAS vs. DAL,L
DAL @ WAS,W
CHI @ MIL,W
MIL vs. CHI,L
DET vs. UTA,W
UTA @ DET,L
NJN @ HOU,L
HOU vs. NJN,W
BOS @ LAC,W
LAC vs. BOS,L
CHA vs. SAC,W
SAC @ CHA,L
PHX @ TOR,W
TOR vs. PHX,L
NOH @ MIN,W
MIN vs. NOH,L
IND vs. UTA,L
UTA @ IND,W
DEN @ POR,L
POR vs. DEN,W
WAS @ MIA,L
MIA vs. WAS,W
CLE vs. NYK,W
NYK @ CLE,L
OKC @ ORL,L
ORL vs. OKC,W
LAL vs. LAC,W
LAC @ LAL,L
SAS vs. NJN,W
NJN @ SAS,L
GSW vs. ATL,L
ATL @ GSW,W
PHI vs. DET,W
DET @ PHI,L
BOS @ DEN,L
DEN vs. BOS,W
CHI vs. MIA,W
MIA @ CHI,L
CHI @ TOR,L
TOR vs. CHI,W
LAC @ NOH,L
NOH vs. LAC,W
MEM @ MIN,W
MIN vs. MEM,L
UTA @ DAL,L
DAL vs. UTA,W
DET @ IND,L
IND vs. DET,W
LAL @ POR,W
POR vs. LAL,L
HOU @ CLE,W
CLE vs. HOU,L
ORL vs. SAC,L
SAC @ ORL,W
ATL @ PHX,L
PHX vs. ATL,W
MIL @ NYK,L
NYK vs. MIL,W
OKC @ SAS,L
SAS vs. OKC,W
WAS @ PHI,L
PHI vs. WAS,W
TOR @ CHA,L
CHA vs. TOR,W
LAC @ OKC,L
OKC vs. LAC,W
WAS vs. IND,L
IND @ WAS,W
DEN vs. MEM,W
MEM @ DEN,L
MIN @ MIL,L
MIL vs. MIN,W
SAC @ MIA,L
MIA vs. SAC,W
DET vs. HOU,L
HOU @ DET,W
ATL @ LAL,L
LAL vs. ATL,W
BOS @ GSW,W
GSW vs. BOS,L
PHX vs. DAL,L
DAL @ PHX,W
CHI vs. SAS,W
SAS @ CHI,L
TOR vs. MIA,L
MIA @ TOR,W
MIN vs. LAC,L
LAC @ MIN,W
DAL vs. SAC,W
SAC @ DAL,L
DEN @ MIL,W
MIL vs. DEN,L
GSW @ UTA,W
UTA vs. GSW,L
NOH @ POR,L
POR vs. NOH,W
PHI @ HOU,W
HOU vs. PHI,L
DET vs. IND,W
IND @ DET,L
LAL @ CLE,L
CLE vs. LAL,W
ORL vs. WAS,W
WAS @ ORL,L
NJN @ BOS,L
BOS vs. NJN,W
ATL @ NYK,L
NYK vs. ATL,W
OKC vs. SAC,W
SAC @ OKC,L
MEM vs. PHI,W
PHI @ MEM,L
IND vs. MIA,L
MIA @ IND,W
UTA @ PHX,L
PHX vs. UTA,W
CHI vs. CHA,W
CHA @ CHI,L
GSW vs. NOH,W
NOH @ GSW,L
LAL @ CHA,L
CHA vs. LAL,W
POR @ MIN,W
MIN vs. POR,L
LAC @ MIL,L
MIL vs. LAC,W
DET vs. ATL,L
ATL @ DET,W
HOU vs. DEN,W
DEN @ HOU,L
NJN vs. SAS,L
SAS @ NJN,W
MEM vs. DEN,W
DEN @ MEM,L
TOR vs. LAC,W
LAC @ TOR,L
DET vs. POR,L
POR @ DET,W
WAS @ CLE,W
CLE vs. WAS,L
ORL vs. LAL,W
LAL @ ORL,L
BOS vs. MIA,W
MIA @ BOS,L
SAC @ PHX,W
PHX vs. SAC,L
OKC @ GSW,L
GSW vs. OKC,W
NOH vs. CHI,L
CHI @ NOH,W
WAS vs. SAS,L
SAS @ WAS,W
PHI @ MIN,W
MIN vs. PHI,L
SAC vs. OKC,L
OKC @ SAC,W
IND @ MIL,W
MIL vs. IND,L
CHA @ ATL,W
ATL vs. CHA,L
HOU vs. DAL,L
DAL @ HOU,W
NJN vs. NYK,L
NYK @ NJN,W
NJN @ CHA,W
CHA vs. NJN,L
MIL @ MEM,L
MEM vs. MIL,W
TOR vs. POR,L
POR @ TOR,W
IND vs. MIN,W
MIN @ IND,L
UTA vs. PHX,L
PHX @ UTA,W
MIA @ DET,W
DET vs. MIA,L
LAC @ CLE,L
CLE vs. LAC,W
NOH @ ORL,W
ORL vs. NOH,L
LAL @ NYK,W
NYK vs. LAL,L
SAS @ PHI,L
PHI vs. SAS,W
DEN vs. DAL,W
DAL @ DEN,L
BOS vs. LAL,L
LAL @ BOS,W
GSW @ PHX,L
PHX vs. GSW,W
TOR vs. SAS,L
SAS @ TOR,W
WAS vs. MIL,W
MIL @ WAS,L
SAC vs. DAL,L
DAL @ SAC,W
CHA @ IND,L
IND vs. CHA,W
CHI @ UTA,W
UTA vs. CHI,L
CLE vs. DET,L
DET @ CLE,W
NOH @ NJN,L
NJN vs. NOH,W
LAC @ NYK,W
NYK vs. LAC,L
DEN @ GSW,L
GSW vs. DEN,W
PHI vs. ORL,L
ORL @ PHI,W
OKC vs. MEM,L
MEM @ OKC,W
TOR @ MIL,L
MIL vs. TOR,W
ATL vs. PHI,L
PHI @ ATL,W
MIA vs. IND,W
IND @ MIA,L
SAS @ DET,W
DET vs. SAS,L
MIN @ HOU,W
HOU vs. MIN,L
LAC @ ORL,L
ORL vs. LAC,W
CHA vs. BOS,W
BOS @ CHA,L
MEM vs. LAL,L
LAL @ MEM,W
MIN @ NOH,W
NOH vs. MIN,L
DEN vs. HOU,L
HOU @ DEN,W
SAC vs. UTA,L
UTA @ SAC,W
CLE @ DAL,L
DAL vs. CLE,W
POR vs. CHI,W
CHI @ POR,L
PHX @ GSW,W
GSW vs. PHX,L
LAC @ MIA,L
MIA vs. LAC,W
BOS vs. ORL,W
ORL @ BOS,L
IND @ NJN,W
NJN vs. IND,L
PHI @ NYK,L
NYK vs. PHI,W
DAL @ CHA,W
CHA vs. DAL,L
ATL @ WAS,W
WAS vs. ATL,L
NOH vs. LAL,L
LAL @ NOH,W
MIN vs. DEN,L
DEN @ MIN,W
DET @ MIL,W
MIL vs. DET,L
UTA vs. OKC,L
OKC @ UTA,W
CLE vs. POR,L
POR @ CLE,W
MEM @ HOU,L
HOU vs. MEM,W
GSW vs. CHI,W
CHI @ GSW,L
CHA vs. MIA,L
MIA @ CHA,W
CLE @ MEM,L
MEM vs. CLE,W
MIN @ TOR,L
TOR vs. MIN,W
WAS vs. ORL,L
ORL @ WAS,W
UTA @ DEN,W
DEN vs. UTA,L
SAS @ SAC,W
SAC vs. SAS,L
LAC @ ATL,L
ATL vs. LAC,W
POR @ IND,L
IND vs. POR,W
DET vs. NJN,W
NJN @ DET,L
BOS vs. DAL,L
DAL @ BOS,W
PHX vs. OKC,L
OKC @ PHX,W
NYK @ PHI,L
PHI vs. NYK,W
ORL vs. MIA,L
MIA @ ORL,W
LAL vs. SAS,L
SAS @ LAL,W
GSW vs. MIL,W
MIL @ GSW,L
OKC vs. NOH,W
NOH @ OKC,L
MEM @ MIN,W
MIN vs. MEM,L
POR @ DEN,L
DEN vs. POR,W
TOR @ ATL,L
ATL vs. TOR,W
UTA vs. HOU,L
HOU @ UTA,W
DET vs. CHA,L
CHA @ DET,W
CLE vs. IND,L
IND @ CLE,W
LAC vs. CHI,L
CHI @ LAC,W
NJN vs. PHI,L
PHI @ NJN,W
PHX vs. MIL,W
MIL @ PHX,L
NYK vs. DAL,L
DAL @ NYK,W
WAS @ NOH,L
NOH vs. WAS,W
SAC vs. BOS,L
BOS @ SAC,W
POR vs. SAS,W
SAS @ POR,L
HOU @ LAL,L
LAL vs. HOU,W
MEM vs. ORL,W
ORL @ MEM,L
WAS @ DAL,L
DAL vs. WAS,W
IND vs. TOR,W
TOR @ IND,L
CHA @ UTA,L
UTA vs. CHA,W
CLE @ MIA,L
MIA vs. CLE,W
MIL @ LAC,L
LAC vs. MIL,W
DEN @ NJN,L
NJN vs. DEN,W
MIA @ OKC,W
OKC vs. MIA,L
CLE @ ORL,L
ORL vs. CLE,W
PHX vs. NOH,W
NOH @ PHX,L
DET @ NYK,L
NYK vs. DET,W
BOS @ LAL,W
LAL vs. BOS,L
GSW vs. UTA,W
UTA @ GSW,L
PHI vs. DEN,W
DEN @ PHI,L
MEM vs. WAS,W
WAS @ MEM,L
TOR @ MIN,L
MIN vs. TOR,W
SAC vs. NOH,W
NOH @ SAC,L
MIL vs. NJN,W
NJN @ MIL,L
ATL @ DAL,L
DAL vs. ATL,W
CHA @ LAC,L
LAC vs. CHA,W
IND @ CHI,L
CHI vs. IND,W
HOU @ SAS,L
SAS vs. HOU,W
OKC vs. WAS,W
WAS @ OKC,L
MIL @ TOR,W
TOR vs. MIL,L
ATL vs. NYK,W
NYK @ ATL,L
NJN @ IND,L
IND vs. NJN,W
UTA vs. MIN,W
MIN @ UTA,L
MIA vs. DET,W
DET @ MIA,L
DEN @ CLE,W
CLE vs. DEN,L
PHX vs. BOS,W
BOS @ PHX,L
CHI vs. ORL,W
ORL @ CHI,L
LAL vs. SAC,L
SAC @ LAL,W
CHA @ GSW,W
GSW vs. CHA,L
MEM @ PHI,W
PHI vs. MEM,L
HOU @ DAL,L
DAL vs. HOU,W
BOS @ POR,W
POR vs. BOS,L
NYK vs. MIA,W
MIA @ NYK,L
PHI @ TOR,W
TOR vs. PHI,L
MIN vs. OKC,L
OKC @ MIN,W
ATL @ MIL,L
MIL vs. ATL,W
ORL @ IND,W
IND vs. ORL,L
SAS @ UTA,W
UTA vs. SAS,L
DEN @ DET,W
DET vs. DEN,L
LAC @ HOU,L
HOU vs. LAC,W
MEM @ NJN,L
NJN vs. MEM,W
PHX vs. CHA,L
CHA @ PHX,W
GSW vs. NOH,L
NOH @ GSW,W
WAS vs. DEN,L
DEN @ WAS,W
CHA @ SAC,W
SAC vs. CHA,L
LAC @ DAL,L
DAL vs. LAC,W
CLE @ BOS,L
BOS vs. CLE,W
LAL vs. UTA,W
UTA @ LAL,L
TOR vs. MEM,L
MEM @ TOR,W
NOH vs. OKC,W
OKC @ NOH,L
HOU @ MIN,W
MIN vs. HOU,L
POR vs. SAC,L
SAC @ POR,W
DET @ ORL,W
ORL vs. DET,L
CLE @ NJN,L
NJN vs. CLE,W
NYK vs. WAS,W
WAS @ NYK,L
MIL @ CHI,L
CHI vs. MIL,W
SAS @ GSW,W
GSW vs. SAS,L
PHX @ PHI,L
PHI vs. PHX,W
DEN vs. IND,W
IND @ DEN,L
CHA vs. ATL,L
ATL @ CHA,W
NYK @ OKC,L
OKC vs. NYK,W
SAS @ NOH,L
NOH vs. SAS,W
WAS vs. BOS,W
BOS @ WAS,L
MIL vs. MEM,L
MEM @ MIL,W
IND @ POR,L
POR vs. IND,W
TOR @ MIA,L
MIA vs. TOR,W
DET vs. PHX,W
PHX @ DET,L
HOU vs. ORL,L
ORL @ HOU,W
LAC vs. GSW,W
GSW @ LAC,L
NJN vs. DAL,L
DAL @ NJN,W
CHI vs. CLE,W
CLE @ CHI,L
UTA @ PHI,L
PHI vs. UTA,W
MEM vs. HOU,W
HOU @ MEM,L
WAS vs. PHX,L
PHX @ WAS,W
LAL @ DEN,W
DEN vs. LAL,L
ATL vs. NOH,L
NOH @ ATL,W
CLE vs. MIL,L
MIL @ CLE,W
TOR @ ORL,L
ORL vs. TOR,W
UTA @ BOS,L
BOS vs. UTA,W
NJN vs. DET,W
DET @ NJN,L
SAS vs. NYK,W
NYK @ SAS,L
GSW vs. SAC,W
SAC @ GSW,L
PHI @ CHA,L
CHA vs. PHI,W
POR vs. LAC,W
LAC @ POR,L
CHI vs. DAL,W
DAL @ CHI,L
MEM @ NOH,L
NOH vs. MEM,W
DEN vs. OKC,W
OKC @ DEN,L
POR @ SAC,W
SAC vs. POR,L
LAL @ DAL,L
DAL vs. LAL,W
MIL vs. WAS,W
WAS @ MIL,L
HOU vs. NYK,W
NYK @ HOU,L
PHX @ CLE,W
CLE vs. PHX,L
ORL vs. PHI,W
PHI @ ORL,L
LAC vs. MIN,W
MIN @ LAC,L
BOS vs. DET,W
DET @ BOS,L
UTA @ NJN,L
NJN vs. UTA,W
