MATCH UP,W/L
ATL @ CHA,L
CHA vs. ATL,W
OKC vs. MIL,L
MIL @ OKC,W
TOR vs. MIA,L
MIA @ TOR,W
HOU @ MIN,W
MIN vs. HOU,L
SAC vs. LAL,L
LAL @ SAC,W
DAL vs. NOH,W
NOH @ DAL,L
UTA vs. DEN,W
DEN @ UTA,L
CLE vs. WAS,W
WAS @ CLE,L
IND @ ORL,L
ORL vs. IND,W
LAC vs. MEM,W
MEM @ LAC,L
NYK @ BOS,L
BOS vs. NYK,W
SAS @ PHX,L
PHX vs. SAS,W
NJN @ CHI,L
CHI vs. NJN,W
GSW vs. POR,W
POR @ GSW,L
PHI vs. DET,L
DET @ PHI,W
MEM @ POR,L
POR vs. MEM,W
NYK vs. CHI,L
CHI @ NYK,W
SAS @ LAL,L
LAL vs. SAS,W
BOS @ WAS,L
WAS vs. BOS,W
UTA @ NOH,W
NOH vs. UTA,L
DEN vs. GSW,W
GSW @ DEN,L
SAC vs. OKC,L
OKC @ SAC,W
TOR @ MIL,L
MIL vs. TOR,W
ATL vs. MIA,L
MIA @ ATL,W
CLE @ DET,W
DET vs. CLE,L
DAL @ HOU,W
HOU vs. DAL,L
NJN vs. CHA,L
CHA @ NJN,W
PHX vs. MIN,W
MIN @ PHX,L
ORL @ PHI,W
PHI vs. ORL,L
CHA vs. DET,L
DET @ CHA,W
NOH @ MEM,L
MEM vs. NOH,W
NJN @ TOR,L
TOR vs. NJN,W
PHX @ DAL,L
DAL vs. PHX,W
NYK @ IND,W
IND vs. NYK,L
MIA vs. BOS,W
BOS @ MIA,L
ORL vs. CHI,L
CHI @ ORL,W
OKC @ LAL,W
LAL vs. OKC,L
GSW vs. SAC,L
SAC @ GSW,W
WAS vs. ATL,W
ATL @ WAS,L
MIN @ DEN,L
DEN vs. MIN,W
MIL vs. CLE,W
CLE @ MIL,L
LAC @ HOU,L
HOU vs. LAC,W
UTA @ SAS,L
SAS vs. UTA,W
OKC vs. DEN,W
DEN @ OKC,L
MEM vs. SAC,W
SAC @ MEM,L
PHX @ NOH,L
NOH vs. PHX,W
LAC @ DAL,L
DAL vs. LAC,W
IND vs. ATL,W
ATL @ IND,L
POR vs. LAL,W
LAL @ POR,L
MIA vs. CHA,W
CHA @ MIA,L
MIL @ DET,L
DET vs. MIL,W
CHI @ CLE,W
CLE vs. CHI,L
BOS vs. WAS,W
WAS @ BOS,L
NJN vs. NYK,L
NYK @ NJN,W
TOR @ PHI,L
PHI vs. TOR,W
UTA vs. POR,L
POR @ UTA,W
BOS @ CHI,L
CHI vs. BOS,W
CHA vs. ORL,L
ORL @ CHA,W
LAC @ OKC,L
OKC vs. LAC,W
TOR vs. CLE,L
CLE @ TOR,W
