TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BOS,BOS @ LAL,06/17/2010,L,240,79,29,71,40.8,6,16,37.5,15,17,88.2,8,32,40,18,6,7,15,25,-4
LAL,LAL vs. BOS,06/17/2010,W,240,83,27,83,32.5,4,20,20.0,25,37,67.6,23,30,53,11,7,3,11,19,4
BOS,BOS @ LAL,06/15/2010,L,240,67,28,84,33.3,5,23,21.7,6,10,60.0,11,28,39,17,8,4,14,21,-22
LAL,LAL vs. BOS,06/15/2010,W,240,89,33,79,41.8,6,19,31.6,17,19,89.5,12,40,52,17,13,8,13,17,22
BOS,BOS vs. LAL,06/13/2010,W,240,92,40,71,56.3,3,12,25.0,9,13,69.2,7,28,35,21,8,7,17,23,6
LAL,LAL @ BOS,06/13/2010,L,240,86,31,78,39.7,7,19,36.8,17,26,65.4,16,18,34,12,9,1,14,22,-6
BOS,BOS vs. LAL,06/10/2010,W,240,96,37,83,44.6,3,12,25.0,19,23,82.6,16,25,41,15,12,2,12,21,7
LAL,LAL @ BOS,06/10/2010,L,240,89,32,71,45.1,7,20,35.0,18,22,81.8,8,26,34,13,6,3,16,23,-7
LAL,LAL @ BOS,06/08/2010,W,240,91,34,76,44.7,2,15,13.3,21,24,87.5,11,32,43,13,2,7,9,20,7
BOS,BOS vs. LAL,06/08/2010,L,240,84,32,73,43.8,4,18,22.2,16,24,66.7,8,27,35,20,4,2,10,27,-7
LAL,LAL vs. BOS,06/06/2010,L,240,94,29,71,40.8,5,22,22.7,31,41,75.6,10,29,39,18,8,14,15,29,-9
BOS,BOS @ LAL,06/06/2010,W,240,103,36,84,42.9,11,16,68.8,20,26,76.9,13,31,44,28,6,3,14,29,9
BOS,BOS @ LAL,06/03/2010,L,240,89,29,67,43.3,1,10,10.0,30,36,83.3,8,23,31,19,5,5,14,28,-13
LAL,LAL vs. BOS,06/03/2010,W,240,102,37,76,48.7,4,10,40.0,24,31,77.4,12,30,42,18,6,7,15,26,13
PHX,PHX vs. LAL,05/29/2010,L,240,103,35,75,46.7,9,26,34.6,24,29,82.8,8,23,31,19,4,6,12,19,-8
LAL,LAL @ PHX,05/29/2010,W,240,111,39,83,47.0,10,24,41.7,23,28,82.1,14,27,41,18,6,3,10,23,8
BOS,BOS vs. ORL,05/28/2010,W,240,96,32,75,42.7,10,22,45.5,22,27,81.5,11,34,45,19,7,3,17,25,12
ORL,ORL @ BOS,05/28/2010,L,240,84,31,72,43.1,6,22,27.3,16,27,59.3,9,26,35,14,8,3,12,21,-12
LAL,LAL vs. PHX,05/27/2010,W,240,103,38,91,41.8,7,24,29.2,20,23,87.0,19,30,49,28,7,10,11,24,2
PHX,PHX @ LAL,05/27/2010,L,240,101,36,77,46.8,9,27,33.3,20,29,69.0,12,28,40,19,7,8,15,21,-2
BOS,BOS @ ORL,05/26/2010,L,240,92,31,72,43.1,7,16,43.8,23,30,76.7,4,22,26,19,5,4,10,30,-21
ORL,ORL vs. BOS,05/26/2010,W,240,113,36,69,52.2,13,25,52.0,28,35,80.0,10,33,43,16,6,7,14,24,21
LAL,LAL @ PHX,05/25/2010,L,240,106,45,91,49.5,9,28,32.1,7,13,53.8,13,23,36,25,4,7,7,23,-9
PHX,PHX vs. LAL,05/25/2010,W,240,115,41,84,48.8,11,30,36.7,22,32,68.8,18,33,51,23,3,3,8,12,9
BOS,BOS vs. ORL,05/24/2010,L,265,92,32,76,42.1,5,18,27.8,23,30,76.7,10,37,47,19,10,6,16,30,-4
ORL,ORL @ BOS,05/24/2010,W,265,96,33,74,44.6,10,28,35.7,20,33,60.6,11,32,43,19,5,5,19,27,4
PHX,PHX vs. LAL,05/23/2010,W,240,118,38,82,46.3,5,20,25.0,37,42,88.1,10,30,40,19,10,2,7,21,9
LAL,LAL @ PHX,05/23/2010,L,240,109,42,87,48.3,9,32,28.1,16,20,80.0,9,32,41,20,4,6,17,28,-9
BOS,BOS vs. ORL,05/22/2010,W,240,94,34,73,46.6,6,11,54.5,20,28,71.4,7,36,43,23,12,3,9,20,23
ORL,ORL @ BOS,05/22/2010,L,240,71,24,65,36.9,8,30,26.7,15,18,83.3,3,33,36,10,5,5,17,25,-23
LAL,LAL vs. PHX,05/19/2010,W,240,124,45,78,57.7,9,16,56.3,25,34,73.5,12,27,39,32,11,4,14,23,12
PHX,PHX @ LAL,05/19/2010,L,240,112,41,83,49.4,10,24,41.7,20,26,76.9,9,25,34,29,7,4,17,26,-12
BOS,BOS @ ORL,05/18/2010,W,240,95,34,74,45.9,5,15,33.3,22,28,78.6,9,29,38,20,7,6,15,29,3
ORL,ORL vs. BOS,05/18/2010,L,240,92,28,71,39.4,7,18,38.9,29,38,76.3,10,26,36,18,9,2,14,25,-3
PHX,PHX @ LAL,05/17/2010,L,240,107,39,79,49.4,5,22,22.7,24,32,75.0,10,24,34,25,6,3,12,23,-21
LAL,LAL vs. PHX,05/17/2010,W,240,128,51,88,58.0,8,17,47.1,18,22,81.8,12,30,42,26,8,3,9,21,21
BOS,BOS @ ORL,05/16/2010,W,240,92,33,74,44.6,6,14,42.9,20,26,76.9,7,31,38,21,8,5,16,25,4
ORL,ORL vs. BOS,05/16/2010,L,240,88,32,77,41.6,5,22,22.7,19,26,73.1,15,30,45,10,6,8,18,17,-4
CLE,CLE @ BOS,05/13/2010,L,240,85,28,73,38.4,5,17,29.4,24,34,70.6,12,36,48,17,10,3,24,22,-9
BOS,BOS vs. CLE,05/13/2010,W,240,94,34,77,44.2,5,17,29.4,21,33,63.6,5,32,37,24,13,5,13,26,9
BOS,BOS @ CLE,05/11/2010,W,240,120,44,80,55.0,8,15,53.3,24,34,70.6,9,32,41,25,6,4,10,28,32
