MATCH UP,W/L
SAS @ MIA,L
MIA vs. SAS,W
MIA vs. SAS,W
SAS @ MIA,L
MIA @ SAS,L
SAS vs. MIA,W
SAS vs. MIA,L
MIA @ SAS,W
MIA @ SAS,L
SAS vs. MIA,W
MIA vs. SAS,W
SAS @ MIA,L
SAS @ MIA,W
MIA vs. SAS,L
IND @ MIA,L
MIA vs. IND,W
MIA @ IND,L
IND vs. MIA,W
MIA vs. IND,W
IND @ MIA,L
MIA @ IND,L
IND vs. MIA,W
MEM vs. SAS,L
SAS @ MEM,W
MIA @ IND,W
IND vs. MIA,L
SAS @ MEM,W
MEM vs. SAS,L
MIA vs. IND,L
IND @ MIA,W
MIA vs. IND,W
IND @ MIA,L
SAS vs. MEM,W
MEM @ SAS,L
SAS vs. MEM,W
MEM @ SAS,L
IND vs. NYK,W
NYK @ IND,L
NYK vs. IND,W
IND @ NYK,L
GSW vs. SAS,L
SAS @ GSW,W
MEM @ OKC,W
OKC vs. MEM,L
MIA vs. CHI,W
CHI @ MIA,L
NYK @ IND,L
IND vs. NYK,W
SAS vs. GSW,W
GSW @ SAS,L
MEM vs. OKC,W
OKC @ MEM,L
MIA @ CHI,W
CHI vs. MIA,L
SAS @ GSW,L
GSW vs. SAS,W
OKC @ MEM,L
MEM vs. OKC,W
NYK @ IND,L
IND vs. NYK,W
CHI vs. MIA,L
MIA @ CHI,W
GSW vs. SAS,L
SAS @ GSW,W
CHI @ MIA,L
MIA vs. CHI,W
SAS vs. GSW,L
GSW @ SAS,W
MEM @ OKC,W
OKC vs. MEM,L
NYK vs. IND,W
IND @ NYK,L
MIA vs. CHI,L
CHI @ MIA,W
GSW @ SAS,L
SAS vs. GSW,W
OKC vs. MEM,W
MEM @ OKC,L
IND @ NYK,W
NYK vs. IND,L
BKN vs. CHI,L
CHI @ BKN,W
MEM vs. LAC,W
LAC @ MEM,L
IND @ ATL,W
ATL vs. IND,L
HOU vs. OKC,L
OKC @ HOU,W
NYK @ BOS,W
BOS vs. NYK,L
CHI vs. BKN,L
BKN @ CHI,W
DEN @ GSW,L
GSW vs. DEN,W
OKC vs. HOU,L
HOU @ OKC,W
IND vs. ATL,W
ATL @ IND,L
BOS @ NYK,W
NYK vs. BOS,L
DEN vs. GSW,W
GSW @ DEN,L
MEM @ LAC,W
LAC vs. MEM,L
ATL vs. IND,W
IND @ ATL,L
OKC @ HOU,L
HOU vs. OKC,W
CHI @ BKN,L
BKN vs. CHI,W
MIL vs. MIA,L
MIA @ MIL,W
NYK @ BOS,L
BOS vs. NYK,W
SAS @ LAL,W
LAL vs. SAS,L
GSW vs. DEN,W
DEN @ GSW,L
MEM vs. LAC,W
LAC @ MEM,L
IND @ ATL,L
ATL vs. IND,W
OKC @ HOU,W
HOU vs. OKC,L
BKN @ CHI,L
CHI vs. BKN,W
BOS vs. NYK,L
NYK @ BOS,W
SAS @ LAL,W
LAL vs. SAS,L
GSW vs. DEN,W
DEN @ GSW,L
MEM vs. LAC,W
LAC @ MEM,L
MIL vs. MIA,L
MIA @ MIL,W
BKN @ CHI,L
CHI vs. BKN,W
HOU @ OKC,L
OKC vs. HOU,W
IND vs. ATL,W
ATL @ IND,L
LAL @ SAS,L
SAS vs. LAL,W
DEN vs. GSW,L
GSW @ DEN,W
MIL @ MIA,L
MIA vs. MIL,W
NYK vs. BOS,W
BOS @ NYK,L
MEM @ LAC,L
LAC vs. MEM,W
BKN vs. CHI,L
CHI @ BKN,W
HOU @ OKC,L
OKC vs. HOU,W
IND vs. ATL,W
ATL @ IND,L
MIA vs. MIL,W
MIL @ MIA,L
SAS vs. LAL,W
LAL @ SAS,L
GSW @ DEN,L
DEN vs. GSW,W
MEM @ LAC,L
LAC vs. MEM,W
BKN vs. CHI,W
CHI @ BKN,L
NYK vs. BOS,W
