MATCH UP,W/L
BOS vs. LAL,W
LAL @ BOS,L
BOS @ LAL,L
LAL vs. BOS,W
BOS @ LAL,W
LAL vs. BOS,L
LAL vs. BOS,W
BOS @ LAL,L
BOS vs. LAL,W
LAL @ BOS,L
LAL @ BOS,L
BOS vs. LAL,W
DET vs. BOS,L
BOS @ DET,W
SAS @ LAL,L
LAL vs. SAS,W
DET @ BOS,L
BOS vs. DET,W
LAL @ SAS,W
SAS vs. LAL,L
BOS @ DET,L
DET vs. BOS,W
SAS vs. LAL,W
LAL @ SAS,L
BOS @ DET,W
DET vs. BOS,L
LAL vs. SAS,W
SAS @ LAL,L
BOS vs. DET,L
DET @ BOS,W
LAL vs. SAS,W
SAS @ LAL,L
DET @ BOS,L
BOS vs. DET,W
SAS @ NOH,W
NOH vs. SAS,L
BOS vs. CLE,W
CLE @ BOS,L
UTA vs. LAL,L
LAL @ UTA,W
BOS @ CLE,L
CLE vs. BOS,W
SAS vs. NOH,W
NOH @ SAS,L
BOS vs. CLE,W
CLE @ BOS,L
LAL vs. UTA,W
UTA @ LAL,L
NOH vs. SAS,W
SAS @ NOH,L
DET vs. ORL,W
ORL @ DET,L
BOS @ CLE,L
CLE vs. BOS,W
LAL @ UTA,L
UTA vs. LAL,W
NOH @ SAS,L
SAS vs. NOH,W
BOS @ CLE,L
CLE vs. BOS,W
DET @ ORL,W
ORL vs. DET,L
UTA vs. LAL,W
LAL @ UTA,L
BOS vs. CLE,W
CLE @ BOS,L
SAS vs. NOH,W
NOH @ SAS,L
DET @ ORL,L
ORL vs. DET,W
LAL vs. UTA,W
UTA @ LAL,L
BOS vs. CLE,W
CLE @ BOS,L
SAS @ NOH,L
NOH vs. SAS,W
DET vs. ORL,W
ORL @ DET,L
ATL @ BOS,L
BOS vs. ATL,W
UTA @ LAL,L
LAL vs. UTA,W
NOH vs. SAS,W
SAS @ NOH,L
ORL @ DET,L
DET vs. ORL,W
WAS vs. CLE,L
CLE @ WAS,W
ATL vs. BOS,W
BOS @ ATL,L
UTA vs. HOU,W
HOU @ UTA,L
PHI vs. DET,L
DET @ PHI,W
WAS @ CLE,W
CLE vs. WAS,L
BOS vs. ATL,W
ATL @ BOS,L
DAL @ NOH,L
NOH vs. DAL,W
DET vs. PHI,W
PHI @ DET,L
UTA @ HOU,L
HOU vs. UTA,W
SAS vs. PHX,W
PHX @ SAS,L
DEN vs. LAL,L
LAL @ DEN,W
ATL vs. BOS,W
BOS @ ATL,L
TOR @ ORL,L
ORL vs. TOR,W
WAS vs. CLE,L
CLE @ WAS,W
DAL vs. NOH,L
NOH @ DAL,W
PHX vs. SAS,W
SAS @ PHX,L
DET @ PHI,W
PHI vs. DET,L
ORL @ TOR,W
TOR vs. ORL,L
DEN vs. LAL,L
LAL @ DEN,W
ATL vs. BOS,W
BOS @ ATL,L
HOU @ UTA,L
UTA vs. HOU,W
DAL vs. NOH,W
NOH @ DAL,L
SAS @ PHX,W
PHX vs. SAS,L
DET @ PHI,L
PHI vs. DET,W
TOR vs. ORL,W
ORL @ TOR,L
WAS vs. CLE,W
CLE @ WAS,L
HOU @ UTA,W
UTA vs. HOU,L
PHI @ DET,L
DET vs. PHI,W
ATL @ BOS,L
BOS vs. ATL,W
LAL vs. DEN,W
DEN @ LAL,L
DAL @ NOH,L
NOH vs. DAL,W
TOR @ ORL,L
ORL vs. TOR,W
SAS vs. PHX,W
PHX @ SAS,L
UTA @ HOU,W
HOU vs. UTA,L
CLE vs. WAS,W
WAS @ CLE,L
DET vs. PHI,L
PHI @ DET,W
TOR @ ORL,L
ORL vs. TOR,W
BOS vs. ATL,W
ATL @ BOS,L
DEN @ LAL,L
LAL vs. DEN,W
DAL @ NOH,L
NOH vs. DAL,W
HOU vs. UTA,L
UTA @ HOU,W
WAS @ CLE,L
CLE vs. WAS,W
SAS vs. PHX,W
