MATCH UP,W/L
CLE @ GSW,W
GSW vs. CLE,L
GSW @ CLE,L
CLE vs. GSW,W
GSW vs. CLE,L
CLE @ GSW,W
CLE vs. GSW,L
GSW @ CLE,W
GSW @ CLE,L
CLE vs. GSW,W
GSW vs. CLE,W
CLE @ GSW,L
CLE @ GSW,L
GSW vs. CLE,W
OKC @ GSW,L
GSW vs. OKC,W
OKC vs. GSW,L
GSW @ OKC,W
TOR vs. CLE,L
CLE @ TOR,W
OKC @ GSW,L
GSW vs. OKC,W
TOR @ CLE,L
CLE vs. TOR,W
GSW @ OKC,L
OKC vs. GSW,W
CLE @ TOR,L
TOR vs. CLE,W
OKC vs. GSW,W
GSW @ OKC,L
CLE @ TOR,L
TOR vs. CLE,W
CLE vs. TOR,W
TOR @ CLE,L
OKC @ GSW,L
GSW vs. OKC,W
TOR @ CLE,L
CLE vs. TOR,W
GSW vs. OKC,L
OKC @ GSW,W
TOR vs. MIA,W
MIA @ TOR,L
TOR @ MIA,L
MIA vs. TOR,W
OKC vs. SAS,W
SAS @ OKC,L
TOR vs. MIA,W
MIA @ TOR,L
GSW vs. POR,W
POR @ GSW,L
SAS vs. OKC,L
OKC @ SAS,W
POR vs. GSW,L
GSW @ POR,W
MIA vs. TOR,W
TOR @ MIA,L
SAS @ OKC,L
OKC vs. SAS,W
ATL vs. CLE,L
CLE @ ATL,W
GSW @ POR,L
POR vs. GSW,W
TOR @ MIA,W
MIA vs. TOR,L
SAS @ OKC,W
OKC vs. SAS,L
CLE @ ATL,W
ATL vs. CLE,L
MIA @ TOR,L
TOR vs. MIA,W
ATL @ CLE,L
CLE vs. ATL,W
MIA @ TOR,W
TOR vs. MIA,L
POR @ GSW,L
GSW vs. POR,W
ATL @ CLE,L
CLE vs. ATL,W
OKC @ SAS,W
SAS vs. OKC,L
IND @ TOR,L
TOR vs. IND,W
MIA vs. CHA,W
CHA @ MIA,L
GSW vs. POR,W
POR @ GSW,L
SAS vs. OKC,W
OKC @ SAS,L
CHA vs. MIA,L
MIA @ CHA,W
IND vs. TOR,W
TOR @ IND,L
POR vs. LAC,W
LAC @ POR,L
ATL @ BOS,W
BOS vs. ATL,L
CHA @ MIA,W
MIA vs. CHA,L
POR @ LAC,W
LAC vs. POR,L
GSW vs. HOU,W
HOU @ GSW,L
IND @ TOR,L
TOR vs. IND,W
BOS @ ATL,L
ATL vs. BOS,W
DAL @ OKC,L
OKC vs. DAL,W
MIA @ CHA,L
CHA vs. MIA,W
LAC @ POR,L
POR vs. LAC,W
SAS @ MEM,W
MEM vs. SAS,L
CLE @ DET,W
DET vs. CLE,L
HOU vs. GSW,L
GSW @ HOU,W
ATL @ BOS,L
BOS vs. ATL,W
MIA @ CHA,L
CHA vs. MIA,W
OKC @ DAL,W
DAL vs. OKC,L
TOR @ IND,L
IND vs. TOR,W
LAC @ POR,L
POR vs. LAC,W
SAS @ MEM,W
MEM vs. SAS,L
CLE @ DET,W
DET vs. CLE,L
BOS vs. ATL,W
ATL @ BOS,L
OKC @ DAL,W
DAL vs. OKC,L
TOR @ IND,W
IND vs. TOR,L
HOU vs. GSW,W
GSW @ HOU,L
CHA @ MIA,L
MIA vs. CHA,W
CLE vs. DET,W
DET @ CLE,L
POR @ LAC,L
LAC vs. POR,W
ATL vs. BOS,W
BOS @ ATL,L
SAS vs. MEM,W
MEM @ SAS,L
OKC vs. DAL,L
DAL @ OKC,W
IND @ TOR,L
TOR vs. IND,W
HOU @ GSW,L
GSW vs. HOU,W
MIA vs. CHA,W
CHA @ MIA,L
DET @ CLE,L
CLE vs. DET,W
POR @ LAC,L
LAC vs. POR,W
SAS vs. MEM,W
MEM @ SAS,L
DAL @ OKC,L
OKC vs. DAL,W
TOR vs. IND,L
IND @ TOR,W
BOS @ ATL,L
ATL vs. BOS,W
GSW vs. HOU,W
